PA
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.3929,nan,nan,nan,
Number of Actions,0.2727,nan,nan,nan,
Processing Time (s),0.0258,nan,0.0651,0.9874,
Memory Usage (GB),0.0033,nan,0.1317,0.0332,
CFP
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.4434,nan,nan,nan,
Number of Actions,0.1950,nan,nan,nan,
Processing Time (s),0.1148,0.7337,0.4645,0.9839,
Memory Usage (GB),0.1211,0.5818,0.6293,0.0310,
CoalitionSimilarity
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.1302,nan,nan,nan,
Number of Actions,0.0943,nan,nan,nan,
Processing Time (s),0.1518,0.7410,0.5045,0.9558,
Memory Usage (GB),0.1318,0.5681,0.6849,0.0251,
CoalitionAssistance
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.5544,nan,nan,nan,
Number of Actions,0.2968,nan,nan,nan,
Processing Time (s),0.2535,0.3493,0.3053,0.9705,
Memory Usage (GB),0.1729,0.4306,0.4274,0.0111,
