PA
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.0124,nan,nan,nan,
Number of Actions,0.6388,nan,nan,nan,
Processing Time (s),0.8348,nan,nan,nan,
Memory Usage (GB),0.7354,nan,0.0581,nan,
CFP
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.3889,nan,nan,nan,
Number of Actions,0.4427,nan,nan,nan,
Processing Time (s),0.6420,0.9072,nan,nan,
Memory Usage (GB),0.4317,0.5780,0.6668,nan,
CoalitionSimilarity
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.7656,nan,nan,nan,
Number of Actions,0.7394,nan,nan,nan,
Processing Time (s),0.8789,0.7213,nan,nan,
Memory Usage (GB),0.7550,0.7330,0.9108,nan,
CoalitionAssistance
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.8790,nan,nan,nan,
Number of Actions,0.7284,nan,nan,nan,
Processing Time (s),0.9296,0.9410,nan,nan,
Memory Usage (GB),0.7716,0.8958,0.9969,nan,
