Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,CS,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,CA,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
CFP,CS,0.0000,1.0000,0.0000,1.0000,522.5000,0.4764,486.0000,0.2951,
CFP,CA,0.0000,1.0000,0.0000,1.0000,386.0000,0.4676,357.0000,0.2901,
CFP,O,0.0000,1.0000,0.0000,1.0000,442.0000,0.2407,388.0000,0.0738,
CFP,A,0.0000,1.0000,0.0000,1.0000,337.0000,0.0884,303.0000,0.0306,
CFP,AO,0.0000,1.0000,0.0000,1.0000,417.0000,0.2017,372.0000,0.0706,
CFP,OT,0.0000,1.0000,0.0000,1.0000,415.5000,0.1959,370.0000,0.0669,
CFP,AT,0.0000,1.0000,0.0000,1.0000,331.5000,0.1664,322.0000,0.1309,
CFP,AOT,0.0000,1.0000,0.0000,1.0000,354.0000,0.1378,333.0000,0.0791,
CS,CA,0.0000,1.0000,0.0000,1.0000,346.5000,0.4305,340.0000,0.3864,
CS,O,0.0000,1.0000,0.0000,1.0000,394.0000,0.2055,377.0000,0.1418,
CS,A,0.0000,1.0000,0.0000,1.0000,268.5000,0.0248,272.0000,0.0285,
CS,AO,0.0000,1.0000,0.0000,1.0000,363.0000,0.1402,353.0000,0.1094,
CS,OT,0.0000,1.0000,0.0000,1.0000,363.5000,0.1420,357.0000,0.1212,
CS,AT,0.0000,1.0000,0.0000,1.0000,270.5000,0.0660,308.0000,0.1981,
CS,AOT,0.0000,1.0000,0.0000,1.0000,293.5000,0.0604,309.0000,0.0979,
CA,O,0.0000,1.0000,0.0000,1.0000,295.5000,0.2416,285.0000,0.1858,
CA,A,0.0000,1.0000,0.0000,1.0000,224.0000,0.0947,217.0000,0.0728,
CA,AO,0.0000,1.0000,0.0000,1.0000,276.5000,0.1939,270.0000,0.1625,
CA,OT,0.0000,1.0000,0.0000,1.0000,277.5000,0.1995,271.0000,0.1672,
CA,AT,0.0000,1.0000,0.0000,1.0000,226.5000,0.2015,239.0000,0.2877,
CA,AOT,0.0000,1.0000,0.0000,1.0000,241.5000,0.1707,239.0000,0.1584,
O,A,0.0000,1.0000,0.0000,1.0000,341.0000,0.3543,340.0000,0.3481,
O,AO,0.0000,1.0000,0.0000,1.0000,395.5000,0.4333,390.0000,0.3992,
O,OT,0.0000,1.0000,0.0000,1.0000,393.5000,0.4208,403.0000,0.4809,
O,AT,0.0000,1.0000,0.0000,1.0000,331.0000,0.4816,314.0000,0.3597,
O,AOT,0.0000,1.0000,0.0000,1.0000,343.5000,0.3705,355.0000,0.4482,
A,AO,0.0000,1.0000,0.0000,1.0000,331.5000,0.3705,330.0000,0.3608,
A,OT,0.0000,1.0000,0.0000,1.0000,330.0000,0.3606,327.0000,0.3410,
A,AT,0.0000,1.0000,0.0000,1.0000,256.5000,0.2607,243.0000,0.1792,
A,AOT,0.0000,1.0000,0.0000,1.0000,296.0000,0.3742,289.0000,0.3242,
AO,OT,0.0000,1.0000,0.0000,1.0000,387.5000,0.4705,389.0000,0.4804,
AO,AT,0.0000,1.0000,0.0000,1.0000,321.5000,0.4962,302.0000,0.3525,
AO,AOT,0.0000,1.0000,0.0000,1.0000,337.5000,0.4116,341.0000,0.4363,
OT,AT,0.0000,1.0000,0.0000,1.0000,321.0000,0.4924,308.0000,0.3955,
OT,AOT,0.0000,1.0000,0.0000,1.0000,335.5000,0.3979,347.0000,0.4787,
AT,AOT,0.0000,1.0000,0.0000,1.0000,283.0000,0.4629,271.0000,0.3667,
