Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,179.0000,0.0000,415.0000,0.1836,410.0000,0.1658,440.0000,0.2895,
PA,CS,193.0000,0.0006,389.0000,0.4315,392.0000,0.4501,376.0000,0.3533,
PA,CA,294.0000,0.0005,516.5000,0.2938,551.5000,0.4578,558.0000,0.4901,
PA,O,424.0000,0.0045,578.0000,0.1816,614.5000,0.3070,591.0000,0.2222,
PA,A,353.0000,0.0006,614.5000,0.3863,622.5000,0.4214,558.0000,0.1764,
PA,AO,400.0000,0.0231,425.0000,0.0462,462.0000,0.1109,443.0000,0.0724,
PA,OT,356.0000,0.0011,570.0000,0.2810,518.0000,0.1184,504.0000,0.0893,
PA,AT,377.0000,0.0024,619.5000,0.4977,569.0000,0.2771,555.0000,0.2256,
PA,AOT,370.0000,0.0032,534.5000,0.2184,500.0000,0.1176,482.0000,0.0807,
CFP,CS,220.5000,0.3229,208.0000,0.2252,217.0000,0.2938,234.0000,0.4438,
CFP,CA,264.5000,0.0947,262.5000,0.0885,281.5000,0.1585,294.0000,0.2204,
CFP,O,297.5000,0.0557,314.5000,0.0938,333.5000,0.1562,306.0000,0.0729,
CFP,A,316.0000,0.1301,366.5000,0.3860,335.0000,0.2085,304.0000,0.0927,
CFP,AO,210.5000,0.0106,216.0000,0.0138,261.5000,0.0855,234.0000,0.0306,
CFP,OT,297.5000,0.1030,307.0000,0.1348,284.5000,0.0687,256.0000,0.0245,
CFP,AT,255.0000,0.0235,319.5000,0.1864,290.0000,0.0820,291.0000,0.0846,
CFP,AOT,262.0000,0.0440,278.0000,0.0766,254.5000,0.0331,233.0000,0.0135,
CS,CA,248.0000,0.2517,270.5000,0.4212,255.5000,0.3041,251.0000,0.2721,
CS,O,278.0000,0.1700,306.5000,0.3331,300.5000,0.2941,276.0000,0.1609,
CS,A,294.5000,0.3157,297.0000,0.3326,302.5000,0.3710,268.0000,0.1640,
CS,AO,208.0000,0.0660,228.5000,0.1405,235.5000,0.1757,216.0000,0.0904,
CS,OT,277.5000,0.2653,300.0000,0.4235,257.0000,0.1532,237.0000,0.0795,
CS,AT,246.0000,0.1084,301.5000,0.4348,273.0000,0.2376,258.0000,0.1579,
CS,AOT,246.0000,0.1424,281.0000,0.3533,242.0000,0.1253,225.0000,0.0687,
CA,O,429.5000,0.3190,431.5000,0.3294,457.5000,0.4740,404.0000,0.2006,
CA,A,439.5000,0.4499,392.0000,0.2032,437.5000,0.4382,400.0000,0.2385,
CA,AO,317.0000,0.1095,328.0000,0.1470,353.5000,0.2639,314.0000,0.1006,
CA,OT,428.5000,0.4667,421.0000,0.4217,388.5000,0.2448,344.0000,0.0859,
CA,AT,383.5000,0.2217,404.5000,0.3271,403.0000,0.3189,384.0000,0.2239,
CA,AOT,380.5000,0.2694,398.0000,0.3660,357.5000,0.1653,319.0000,0.0580,
O,A,482.5000,0.2752,454.0000,0.1657,515.5000,0.4348,525.0000,0.4843,
O,AO,419.0000,0.2668,419.5000,0.2691,421.0000,0.2763,414.0000,0.2436,
O,OT,481.0000,0.3410,482.5000,0.3483,463.5000,0.2594,464.0000,0.2617,
O,AT,501.5000,0.4466,459.0000,0.2402,489.0000,0.3812,502.0000,0.4492,
O,AOT,486.5000,0.4534,488.5000,0.4643,436.5000,0.2103,435.0000,0.2045,
A,AO,365.5000,0.1107,346.0000,0.0652,401.0000,0.2429,401.0000,0.2431,
A,OT,483.5000,0.4318,448.5000,0.2568,436.0000,0.2046,459.0000,0.3055,
A,AT,442.0000,0.2289,459.0000,0.3054,459.0000,0.3054,495.0000,0.4945,
A,AOT,433.0000,0.2540,401.5000,0.1343,411.0000,0.1654,422.0000,0.2070,
AO,OT,366.0000,0.1509,365.0000,0.1473,433.0000,0.4939,428.0000,0.4637,
AO,AT,396.5000,0.2846,343.0000,0.0835,411.5000,0.3663,401.0000,0.3082,
AO,AOT,386.5000,0.3010,373.5000,0.2345,409.5000,0.4350,413.0000,0.4566,
OT,AT,436.0000,0.2655,459.5000,0.3837,455.0000,0.3597,453.0000,0.3493,
OT,AOT,428.0000,0.2967,445.0000,0.3864,458.5000,0.4626,450.0000,0.4143,
AT,AOT,464.5000,0.4971,412.0000,0.2221,425.5000,0.2843,417.0000,0.2443,
