Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,717.0000,0.0001,
PA,CS,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,882.0000,0.0002,
PA,CA,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1208.0000,0.0552,
PA,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,802.0000,0.0069,
PA,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,922.0000,0.0069,
PA,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,908.0000,0.0034,
PA,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,885.0000,0.0085,
PA,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1030.0000,0.0128,
PA,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,961.0000,0.0059,
CFP,CS,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,967.0000,0.3108,
CFP,CA,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,851.0000,0.0782,
CFP,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,653.0000,0.0812,
CFP,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,748.0000,0.0865,
CFP,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,763.0000,0.0821,
CFP,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,695.0000,0.0653,
CFP,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,743.0000,0.0312,
CFP,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,792.0000,0.0969,
CS,CA,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1028.0000,0.1102,
CS,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,830.0000,0.1937,
CS,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,942.0000,0.1915,
CS,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,960.0000,0.1819,
CS,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,877.0000,0.1508,
CS,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,942.0000,0.0842,
CS,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,995.0000,0.2079,
CA,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,876.0000,0.3189,
CA,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1004.0000,0.3492,
CA,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1016.0000,0.3167,
CA,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,961.0000,0.3623,
CA,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1122.0000,0.4851,
CA,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1039.0000,0.3154,
O,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,809.0000,0.4698,
O,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,833.0000,0.4889,
O,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,761.0000,0.4299,
O,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,829.0000,0.3430,
O,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,855.0000,0.5000,
A,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,941.0000,0.4831,
A,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,868.0000,0.4519,
A,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,943.0000,0.3528,
A,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,960.0000,0.4750,
AO,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,881.0000,0.4267,
AO,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,953.0000,0.3170,
AO,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,989.0000,0.4967,
OT,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,910.0000,0.3895,
OT,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,897.0000,0.4127,
AT,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,974.0000,0.3141,
