Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,
Tool A,Tool B,H,p,H,p,
PA,CFP,0.0000,1.0000,0.0000,1.0000,
PA,CS,0.0000,1.0000,0.0000,1.0000,
PA,CA,0.0000,1.0000,0.0000,1.0000,
PA,O,0.0000,1.0000,0.0000,1.0000,
PA,A,0.0000,1.0000,0.0000,1.0000,
PA,AO,0.0000,1.0000,0.0000,1.0000,
PA,OT,0.0000,1.0000,0.0000,1.0000,
PA,AT,0.0000,1.0000,0.0000,1.0000,
PA,AOT,0.0000,1.0000,0.0000,1.0000,
CFP,CS,0.0000,1.0000,0.0000,1.0000,
CFP,CA,0.0000,1.0000,0.0000,1.0000,
CFP,O,0.0000,1.0000,0.0000,1.0000,
CFP,A,0.0000,1.0000,0.0000,1.0000,
CFP,AO,0.0000,1.0000,0.0000,1.0000,
CFP,OT,0.0000,1.0000,0.0000,1.0000,
CFP,AT,0.0000,1.0000,0.0000,1.0000,
CFP,AOT,0.0000,1.0000,0.0000,1.0000,
CS,CA,0.0000,1.0000,0.0000,1.0000,
CS,O,0.0000,1.0000,0.0000,1.0000,
CS,A,0.0000,1.0000,0.0000,1.0000,
CS,AO,0.0000,1.0000,0.0000,1.0000,
CS,OT,0.0000,1.0000,0.0000,1.0000,
CS,AT,0.0000,1.0000,0.0000,1.0000,
CS,AOT,0.0000,1.0000,0.0000,1.0000,
CA,O,0.0000,1.0000,0.0000,1.0000,
CA,A,0.0000,1.0000,0.0000,1.0000,
CA,AO,0.0000,1.0000,0.0000,1.0000,
CA,OT,0.0000,1.0000,0.0000,1.0000,
CA,AT,0.0000,1.0000,0.0000,1.0000,
CA,AOT,0.0000,1.0000,0.0000,1.0000,
O,A,0.0000,1.0000,0.0000,1.0000,
O,AO,0.0000,1.0000,0.0000,1.0000,
O,OT,0.0000,1.0000,0.0000,1.0000,
O,AT,0.0000,1.0000,0.0000,1.0000,
O,AOT,0.0000,1.0000,0.0000,1.0000,
A,AO,0.0000,1.0000,0.0000,1.0000,
A,OT,0.0000,1.0000,0.0000,1.0000,
A,AT,0.0000,1.0000,0.0000,1.0000,
A,AOT,0.0000,1.0000,0.0000,1.0000,
AO,OT,0.0000,1.0000,0.0000,1.0000,
AO,AT,0.0000,1.0000,0.0000,1.0000,
AO,AOT,0.0000,1.0000,0.0000,1.0000,
OT,AT,0.0000,1.0000,0.0000,1.0000,
OT,AOT,0.0000,1.0000,0.0000,1.0000,
AT,AOT,0.0000,1.0000,0.0000,1.0000,
