Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,
Tool A,Tool B,H,p,H,p,
PA,CFP,4.0965,0.0430,0.0083,0.9276,
PA,CS,7.1435,0.0075,0.7007,0.4026,
PA,CA,2.5861,0.1078,0.0146,0.9038,
PA,O,0.3834,0.5358,2.4224,0.1196,
PA,A,1.7097,0.1910,0.0024,0.9610,
PA,AO,0.5088,0.4756,1.6723,0.1959,
PA,OT,0.9186,0.3378,1.5600,0.2117,
PA,AT,3.4996,0.0614,0.0670,0.7957,
PA,AOT,2.5587,0.1097,0.1120,0.7378,
CFP,CS,1.0155,0.3136,0.6074,0.4358,
CFP,CA,0.2149,0.6429,0.0375,0.8464,
CFP,O,3.0098,0.0828,3.8989,0.0483,
CFP,A,0.2603,0.6099,0.0070,0.9335,
CFP,AO,2.3068,0.1288,2.7805,0.0954,
CFP,OT,1.4558,0.2276,2.7041,0.1001,
CFP,AT,0.0274,0.8685,0.0090,0.9246,
CFP,AOT,0.2006,0.6542,0.5688,0.4507,
CS,CA,1.3374,0.2475,0.8137,0.3670,
CS,O,6.7161,0.0096,6.0813,0.0137,
CS,A,2.2687,0.1320,0.5204,0.4707,
CS,AO,5.2939,0.0214,4.3873,0.0362,
CS,OT,4.7670,0.0290,4.6921,0.0303,
CS,AT,0.9228,0.3367,0.3613,0.5478,
CS,AOT,2.0203,0.1552,1.8062,0.1790,
CA,O,1.7165,0.1901,2.1064,0.1467,
CA,A,0.0890,0.7654,0.0011,0.9731,
CA,AO,1.3349,0.2479,1.3766,0.2407,
CA,OT,0.6439,0.4223,1.4131,0.2345,
CA,AT,0.1785,0.6727,0.0311,0.8599,
CA,AOT,0.0126,0.9107,0.1523,0.6963,
O,A,0.8884,0.3459,2.5515,0.1102,
O,AO,0.0265,0.8708,0.0196,0.8887,
O,OT,0.3286,0.5665,0.1098,0.7404,
O,AT,3.2284,0.0724,4.1117,0.0426,
O,AOT,1.6785,0.1951,1.5140,0.2185,
A,AO,0.4982,0.4803,1.7047,0.1917,
A,OT,0.2395,0.6246,1.6928,0.1932,
A,AT,0.2512,0.6162,0.0388,0.8439,
A,AOT,0.0270,0.8695,0.1833,0.6686,
AO,OT,0.1418,0.7065,0.0248,0.8748,
AO,AT,2.1724,0.1405,2.8344,0.0923,
AO,AOT,1.0817,0.2983,0.9384,0.3327,
OT,AT,1.6917,0.1934,2.8791,0.0897,
OT,AOT,0.5450,0.4604,0.8215,0.3647,
AT,AOT,0.1778,0.6733,0.6226,0.4301,
