Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,5.6260,0.0177,
PA,CS,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,3.3280,0.0681,
PA,CA,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0819,0.7748,
PA,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,4.5777,0.0324,
PA,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,5.1557,0.0232,
PA,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.9812,0.3219,
PA,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.2692,0.6039,
PA,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,4.5777,0.0324,
PA,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.7696,0.3803,
CFP,CS,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.8647,0.3524,
CFP,CA,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,2.9333,0.0868,
CFP,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0118,0.9134,
CFP,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0026,0.9590,
CFP,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.8550,0.3551,
CFP,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,2.2667,0.1322,
CFP,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
CFP,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.5455,0.4602,
CS,CA,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.5613,0.2115,
CS,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.5364,0.4639,
CS,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.5105,0.4749,
CS,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.1931,0.6603,
CS,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.9636,0.3263,
CS,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.4208,0.5165,
CS,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0138,0.9064,
CA,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,2.6281,0.1050,
CA,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,2.8212,0.0930,
CA,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.3054,0.5805,
CA,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0594,0.8074,
CA,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,2.7489,0.0973,
CA,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.2881,0.5915,
O,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
O,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.2156,0.2702,
O,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.6294,0.2018,
O,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0164,0.8980,
O,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.4439,0.5052,
OT,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.4717,0.2251,
OT,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.7159,0.1902,
OT,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0848,0.7709,
OT,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.2997,0.5841,
A,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0740,0.7856,
A,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.3314,0.2486,
A,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.1015,0.7500,
AT,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.6294,0.2018,
AT,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.1599,0.6893,
AO,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.5245,0.4689,
