PA
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.8018,nan,nan,nan,
Number of Actions,0.0354,nan,nan,nan,
Processing Time (s),0.8386,0.5808,0.0012,nan,
Memory Usage (GB),0.8010,0.0703,0.0000,nan,
CFP
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.8278,nan,nan,nan,
Number of Actions,0.0004,nan,nan,nan,
Processing Time (s),0.0002,0.0011,0.0015,nan,
Memory Usage (GB),0.0000,0.0352,0.0000,nan,
CoalitionSimilarity
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.0745,nan,nan,nan,
Number of Actions,0.0000,nan,nan,nan,
Processing Time (s),0.9255,0.2680,0.0008,nan,
Memory Usage (GB),0.5607,0.0540,0.0000,nan,
CoalitionAssistance
Metric,Success (%),Nonexecutable (%),Time Fail (%),Memory Fail (%),
Makespan (s),0.4711,nan,nan,nan,
Number of Actions,0.0365,nan,nan,nan,
Processing Time (s),0.2436,0.2590,0.0013,nan,
Memory Usage (GB),0.1315,0.0552,0.0000,nan,
