Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,17.4237,0.0000,0.8133,0.3672,0.9426,0.3316,0.3077,0.5791,
PA,CS,10.5369,0.0012,0.0298,0.8630,0.0157,0.9001,0.1416,0.7067,
PA,CA,10.9872,0.0009,0.2940,0.5877,0.0112,0.9156,0.0006,0.9801,
PA,O,6.8425,0.0089,0.8266,0.3633,0.2544,0.6140,0.5849,0.4444,
PA,A,10.5784,0.0011,0.0836,0.7725,0.0393,0.8428,0.8635,0.3528,
PA,AO,3.9752,0.0462,2.8318,0.0924,1.4924,0.2219,2.1256,0.1449,
PA,OT,9.3679,0.0022,0.3362,0.5620,1.3992,0.2369,1.8086,0.1787,
PA,AT,7.9368,0.0048,0.0000,0.9954,0.3497,0.5543,0.5679,0.4511,
PA,AOT,7.4508,0.0063,0.6046,0.4368,1.4090,0.2352,1.9611,0.1614,
CFP,CS,0.2113,0.6458,0.5696,0.4504,0.2940,0.5876,0.0200,0.8875,
CFP,CA,1.7225,0.1894,1.8219,0.1771,1.0013,0.3170,0.5943,0.4407,
CFP,O,2.5347,0.1114,1.7370,0.1875,1.0209,0.3123,2.1160,0.1458,
CFP,A,1.2675,0.2602,0.0840,0.7719,0.6586,0.4171,1.7544,0.1853,
CFP,AO,5.3069,0.0212,4.8571,0.0275,1.8739,0.1710,3.5054,0.0612,
CFP,OT,1.5986,0.2061,1.2183,0.2697,2.2071,0.1374,3.8756,0.0490,
CFP,AT,3.9427,0.0471,0.7945,0.3727,1.9376,0.1639,1.8897,0.1692,
CFP,AOT,2.9103,0.0880,2.0405,0.1532,3.3742,0.0662,4.8876,0.0271,
CS,CA,0.4478,0.5034,0.0395,0.8425,0.2627,0.6083,0.3678,0.5442,
CS,O,0.9108,0.3399,0.1862,0.6661,0.2931,0.5882,0.9818,0.3218,
CS,A,0.2301,0.6315,0.1873,0.6652,0.1084,0.7420,0.9566,0.3280,
CS,AO,2.2683,0.1320,1.1619,0.2811,0.8681,0.3515,1.7913,0.1808,
CS,OT,0.3933,0.5306,0.0373,0.8469,1.0462,0.3064,1.9835,0.1590,
CS,AT,1.5248,0.2169,0.0269,0.8697,0.5098,0.4752,1.0065,0.3158,
CS,AOT,1.1441,0.2848,0.1418,0.7065,1.3197,0.2506,2.2059,0.1375,
CA,O,0.2213,0.6381,0.1950,0.6588,0.0042,0.9481,0.7047,0.4012,
CA,A,0.0159,0.8998,0.6890,0.4065,0.0242,0.8763,0.5059,0.4769,
CA,AO,1.5107,0.2190,1.1009,0.2941,0.3986,0.5278,1.6337,0.2012,
CA,OT,0.0070,0.9335,0.0390,0.8435,0.4774,0.4896,1.8664,0.1719,
CA,AT,0.5877,0.4433,0.2007,0.6542,0.2216,0.6379,0.5760,0.4479,
CA,AOT,0.3778,0.5388,0.1173,0.7320,0.9463,0.3307,2.4700,0.1160,
O,A,0.3565,0.5504,0.9438,0.3313,0.0269,0.8697,0.0015,0.9686,
O,AO,0.3876,0.5336,0.3790,0.5382,0.3526,0.5527,0.4826,0.4872,
O,OT,0.1680,0.6819,0.1521,0.6966,0.4162,0.5189,0.4072,0.5234,
O,AT,0.0181,0.8931,0.4979,0.4804,0.0914,0.7624,0.0163,0.8984,
O,AOT,0.0137,0.9069,0.0080,0.9287,0.6486,0.4206,0.6818,0.4090,
A,AO,1.4946,0.2215,2.2871,0.1305,0.4859,0.4858,0.4850,0.4862,
A,OT,0.0295,0.8635,0.4268,0.5136,0.6810,0.4092,0.2588,0.6110,
A,AT,0.5513,0.4578,0.2590,0.6108,0.2590,0.6108,0.0002,0.9890,
A,AOT,0.4384,0.5079,1.2239,0.2686,0.9456,0.3308,0.6675,0.4139,
AO,OT,1.0659,0.3019,1.0988,0.2945,0.0002,0.9879,0.0083,0.9274,
AO,AT,0.3241,0.5692,1.9104,0.1669,0.1168,0.7325,0.2509,0.6164,
AO,AOT,0.2719,0.6021,0.5245,0.4689,0.0267,0.8701,0.0119,0.9133,
OT,AT,0.3926,0.5310,0.0875,0.7674,0.1290,0.7195,0.1499,0.6986,
OT,AOT,0.2850,0.5934,0.0834,0.7728,0.0088,0.9253,0.0468,0.8287,
AT,AOT,0.0001,0.9942,0.5852,0.4443,0.3249,0.5687,0.4795,0.4886,
