Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,0.14,0.71,0.61,0.43,
PA,CS,N/A,N/A,N/A,N/A,0.76,0.38,0.79,0.37,
PA,CA,N/A,N/A,N/A,N/A,0.54,0.46,2.83,0.09,
PA,O,N/A,N/A,N/A,N/A,0.12,0.73,2.17,0.14,
PA,A,N/A,N/A,N/A,N/A,0.20,0.66,0.19,0.66,
PA,AO,N/A,N/A,N/A,N/A,0.11,0.74,0.06,0.80,
PA,OT,N/A,N/A,N/A,N/A,0.05,0.82,4.11,0.04,
PA,AT,N/A,N/A,N/A,N/A,0.33,0.57,1.09,0.30,
PA,AOT,N/A,N/A,N/A,N/A,0.09,0.76,0.01,0.91,
CFP,CS,N/A,N/A,N/A,N/A,0.83,0.36,0.02,0.89,
CFP,CA,N/A,N/A,N/A,N/A,0.75,0.39,0.57,0.45,
CFP,O,N/A,N/A,N/A,N/A,0.22,0.64,0.26,0.61,
CFP,A,N/A,N/A,N/A,N/A,0.28,0.60,1.22,0.27,
CFP,AO,N/A,N/A,N/A,N/A,0.17,0.68,1.13,0.29,
CFP,OT,N/A,N/A,N/A,N/A,0.14,0.71,0.55,0.46,
CFP,AT,N/A,N/A,N/A,N/A,0.13,0.72,2.65,0.10,
CFP,AOT,N/A,N/A,N/A,N/A,0.23,0.63,0.41,0.52,
CS,CA,N/A,N/A,N/A,N/A,0.01,0.91,0.93,0.33,
CS,O,N/A,N/A,N/A,N/A,0.31,0.58,0.41,0.52,
CS,A,N/A,N/A,N/A,N/A,0.00,0.95,1.63,0.20,
CS,AO,N/A,N/A,N/A,N/A,0.30,0.58,1.36,0.24,
CS,OT,N/A,N/A,N/A,N/A,0.46,0.50,1.47,0.23,
CS,AT,N/A,N/A,N/A,N/A,1.46,0.23,3.68,0.06,
CS,AOT,N/A,N/A,N/A,N/A,0.25,0.62,0.81,0.37,
CA,O,N/A,N/A,N/A,N/A,0.33,0.57,0.12,0.73,
CA,A,N/A,N/A,N/A,N/A,0.00,0.96,4.29,0.04,
CA,AO,N/A,N/A,N/A,N/A,0.27,0.60,3.69,0.05,
CA,OT,N/A,N/A,N/A,N/A,0.47,0.49,0.01,0.91,
CA,AT,N/A,N/A,N/A,N/A,0.83,0.36,6.04,0.01,
CA,AOT,N/A,N/A,N/A,N/A,0.21,0.65,2.40,0.12,
O,A,N/A,N/A,N/A,N/A,0.15,0.70,3.43,0.06,
O,AO,N/A,N/A,N/A,N/A,0.01,0.93,2.90,0.09,
O,OT,N/A,N/A,N/A,N/A,0.02,0.90,0.61,0.44,
O,AT,N/A,N/A,N/A,N/A,0.19,0.66,6.52,0.01,
O,AOT,N/A,N/A,N/A,N/A,0.02,0.88,1.94,0.16,
A,AO,N/A,N/A,N/A,N/A,0.14,0.71,0.03,0.87,
A,OT,N/A,N/A,N/A,N/A,0.26,0.61,5.68,0.02,
A,AT,N/A,N/A,N/A,N/A,1.15,0.28,0.36,0.55,
A,AOT,N/A,N/A,N/A,N/A,0.14,0.70,0.24,0.62,
AO,OT,N/A,N/A,N/A,N/A,0.03,0.87,4.27,0.04,
AO,AT,N/A,N/A,N/A,N/A,0.17,0.68,0.33,0.57,
AO,AOT,N/A,N/A,N/A,N/A,0.05,0.82,0.20,0.65,
OT,AT,N/A,N/A,N/A,N/A,0.05,0.81,9.72,0.01,
OT,AOT,N/A,N/A,N/A,N/A,0.12,0.73,3.41,0.06,
AT,AOT,N/A,N/A,N/A,N/A,0.18,0.67,1.17,0.28,
