Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,CS,N/A,N/A,N/A,N/A,0.01,0.94,N/A,N/A,
CFP,CA,N/A,N/A,N/A,N/A,2.60,0.11,1.95,0.16,
CFP,O,N/A,N/A,N/A,N/A,0.24,0.62,0.16,0.69,
CFP,A,N/A,N/A,N/A,N/A,0.07,0.79,0.01,0.92,
CFP,AO,N/A,N/A,N/A,N/A,1.14,0.29,1.50,0.22,
CFP,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.04,0.85,
CFP,AT,N/A,N/A,N/A,N/A,0.29,0.59,0.66,0.42,
CFP,AOT,N/A,N/A,N/A,N/A,0.70,0.40,0.83,0.36,
CS,CA,N/A,N/A,N/A,N/A,2.74,0.10,1.55,0.21,
CS,O,N/A,N/A,N/A,N/A,0.04,0.84,0.06,0.81,
CS,A,N/A,N/A,N/A,N/A,0.00,0.96,0.02,0.88,
CS,AO,N/A,N/A,N/A,N/A,0.82,0.36,1.39,0.24,
CS,OT,N/A,N/A,N/A,N/A,0.09,0.76,0.06,0.81,
CS,AT,N/A,N/A,N/A,N/A,0.61,0.43,0.59,0.44,
CS,AOT,N/A,N/A,N/A,N/A,0.31,0.58,0.87,0.35,
CA,O,N/A,N/A,N/A,N/A,0.93,0.34,0.23,0.63,
CA,A,N/A,N/A,N/A,N/A,2.42,0.12,1.38,0.24,
CA,AO,N/A,N/A,N/A,N/A,0.05,0.83,0.10,0.75,
CA,OT,N/A,N/A,N/A,N/A,2.16,0.14,0.93,0.34,
CA,AT,N/A,N/A,N/A,N/A,5.99,0.01,4.23,0.04,
CA,AOT,N/A,N/A,N/A,N/A,0.47,0.49,0.04,0.84,
O,A,N/A,N/A,N/A,N/A,0.03,0.86,0.13,0.72,
O,AO,N/A,N/A,N/A,N/A,0.32,0.57,0.92,0.34,
O,OT,N/A,N/A,N/A,N/A,0.32,0.57,0.05,0.82,
O,AT,N/A,N/A,N/A,N/A,1.20,0.27,0.96,0.33,
O,AOT,N/A,N/A,N/A,N/A,0.07,0.79,0.48,0.49,
A,AO,N/A,N/A,N/A,N/A,0.66,0.42,1.26,0.26,
A,OT,N/A,N/A,N/A,N/A,0.08,0.78,0.06,0.81,
A,AT,N/A,N/A,N/A,N/A,0.81,0.37,0.64,0.42,
A,AOT,N/A,N/A,N/A,N/A,0.30,0.58,0.79,0.37,
AO,OT,N/A,N/A,N/A,N/A,1.16,0.28,1.67,0.20,
AO,AT,N/A,N/A,N/A,N/A,2.75,0.10,3.20,0.07,
AO,AOT,N/A,N/A,N/A,N/A,0.12,0.73,0.08,0.78,
OT,AT,N/A,N/A,N/A,N/A,0.36,0.55,0.14,0.71,
OT,AOT,N/A,N/A,N/A,N/A,0.56,0.46,1.12,0.29,
AT,AOT,N/A,N/A,N/A,N/A,1.85,0.17,2.32,0.13,
