Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,4.10,0.04,0.01,0.93,8.79,0.01,11.73,0.01,
PA,CS,7.14,0.01,0.70,0.40,9.14,0.01,13.58,0.01,
PA,CA,2.59,0.11,0.01,0.90,2.29,0.13,4.89,0.03,
PA,O,0.38,0.54,2.42,0.12,9.35,0.01,12.78,0.01,
PA,A,1.71,0.19,0.00,0.96,1.62,0.20,3.87,0.05,
PA,AO,0.51,0.48,1.67,0.20,6.66,0.01,9.81,0.01,
PA,OT,0.92,0.34,1.56,0.21,8.21,0.01,11.98,0.01,
PA,AT,3.50,0.06,0.07,0.80,0.99,0.32,2.95,0.09,
PA,AOT,2.56,0.11,0.11,0.74,2.95,0.09,6.29,0.01,
CFP,CS,1.02,0.31,0.61,0.44,0.36,0.55,0.07,0.79,
CFP,CA,0.21,0.64,0.04,0.85,3.16,0.08,2.62,0.11,
CFP,O,3.01,0.08,3.90,0.05,0.34,0.56,0.06,0.81,
CFP,A,0.26,0.61,0.01,0.93,3.57,0.06,2.88,0.09,
CFP,AO,2.31,0.13,2.78,0.10,1.11,0.29,0.54,0.46,
CFP,OT,1.46,0.23,2.70,0.10,0.36,0.55,0.10,0.76,
CFP,AT,0.03,0.87,0.01,0.92,5.38,0.02,4.78,0.03,
CFP,AOT,0.20,0.65,0.57,0.45,2.80,0.09,1.83,0.18,
CS,CA,1.34,0.25,0.81,0.37,1.88,0.17,2.06,0.15,
CS,O,6.72,0.01,6.08,0.01,0.03,0.86,0.02,0.88,
CS,A,2.27,0.13,0.52,0.47,2.98,0.08,2.69,0.10,
CS,AO,5.29,0.02,4.39,0.04,0.47,0.49,0.19,0.66,
CS,OT,4.77,0.03,4.69,0.03,0.04,0.85,0.01,0.94,
CS,AT,0.92,0.34,0.36,0.55,4.88,0.03,4.74,0.03,
CS,AOT,2.02,0.16,1.81,0.18,2.03,0.15,1.61,0.20,
CA,O,1.72,0.19,2.11,0.15,1.72,0.19,2.36,0.12,
CA,A,0.09,0.77,0.00,0.97,0.01,0.92,0.01,0.92,
CA,AO,1.33,0.25,1.38,0.24,0.64,0.42,0.96,0.33,
CA,OT,0.64,0.42,1.41,0.23,1.42,0.23,2.16,0.14,
CA,AT,0.18,0.67,0.03,0.86,0.43,0.51,0.32,0.57,
CA,AOT,0.01,0.91,0.15,0.70,0.00,0.97,0.06,0.81,
O,A,0.89,0.35,2.55,0.11,2.47,0.12,2.66,0.10,
O,AO,0.03,0.87,0.02,0.89,0.20,0.65,0.45,0.50,
O,OT,0.33,0.57,0.11,0.74,0.00,0.98,0.00,0.95,
O,AT,3.23,0.07,4.11,0.04,4.47,0.03,4.88,0.03,
O,AOT,1.68,0.20,1.51,0.22,1.73,0.19,2.04,0.15,
A,AO,0.50,0.48,1.70,0.19,1.25,0.26,1.06,0.30,
A,OT,0.24,0.62,1.69,0.19,2.34,0.13,2.65,0.10,
A,AT,0.25,0.62,0.04,0.84,0.17,0.68,0.16,0.69,
A,AOT,0.03,0.87,0.18,0.67,0.13,0.72,0.21,0.65,
AO,OT,0.14,0.71,0.02,0.87,0.17,0.68,0.38,0.54,
AO,AT,2.17,0.14,2.83,0.09,2.60,0.11,2.54,0.11,
AO,AOT,1.08,0.30,0.94,0.33,0.66,0.42,0.59,0.44,
OT,AT,1.69,0.19,2.88,0.09,4.19,0.04,4.77,0.03,
OT,AOT,0.55,0.46,0.82,0.36,1.56,0.21,1.92,0.17,
AT,AOT,0.18,0.67,0.62,0.43,0.63,0.43,0.81,0.37,
