Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,5.63,0.02,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,3.33,0.07,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,0.08,0.77,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,4.58,0.03,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,0.98,0.32,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,4.58,0.03,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,5.16,0.02,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.27,0.60,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.77,0.38,
CFP,CS,N/A,N/A,N/A,N/A,N/A,N/A,0.86,0.35,
CFP,CA,N/A,N/A,N/A,N/A,N/A,N/A,2.93,0.09,
CFP,O,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0.91,
CFP,A,N/A,N/A,N/A,N/A,N/A,N/A,0.86,0.36,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.96,
CFP,AT,N/A,N/A,N/A,N/A,N/A,N/A,2.27,0.13,
CFP,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.55,0.46,
CS,CA,N/A,N/A,N/A,N/A,N/A,N/A,1.56,0.21,
CS,O,N/A,N/A,N/A,N/A,N/A,N/A,0.54,0.46,
CS,A,N/A,N/A,N/A,N/A,N/A,N/A,0.19,0.66,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,0.42,0.52,
CS,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.51,0.47,
CS,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.96,0.33,
CS,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0.91,
CA,O,N/A,N/A,N/A,N/A,N/A,N/A,2.63,0.10,
CA,A,N/A,N/A,N/A,N/A,N/A,N/A,0.31,0.58,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,2.75,0.10,
CA,OT,N/A,N/A,N/A,N/A,N/A,N/A,2.82,0.09,
CA,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.06,0.81,
CA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.29,0.59,
O,A,N/A,N/A,N/A,N/A,N/A,N/A,1.22,0.27,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,0.02,0.90,
O,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,AT,N/A,N/A,N/A,N/A,N/A,N/A,1.63,0.20,
O,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.44,0.51,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,1.33,0.25,
A,OT,N/A,N/A,N/A,N/A,N/A,N/A,1.47,0.23,
A,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.07,0.79,
A,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.10,0.75,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.08,0.77,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,1.63,0.20,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.52,0.47,
OT,AT,N/A,N/A,N/A,N/A,N/A,N/A,1.72,0.19,
OT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.30,0.58,
AT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.16,0.69,
