Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,CS,N/A,N/A,N/A,N/A,0.00,0.95,0.29,0.59,
CFP,CA,N/A,N/A,N/A,N/A,0.01,0.94,0.31,0.58,
CFP,O,N/A,N/A,N/A,N/A,0.50,0.48,2.10,0.15,
CFP,A,N/A,N/A,N/A,N/A,1.82,0.18,3.50,0.06,
CFP,AO,N/A,N/A,N/A,N/A,0.70,0.40,2.16,0.14,
CFP,OT,N/A,N/A,N/A,N/A,0.73,0.39,2.25,0.13,
CFP,AT,N/A,N/A,N/A,N/A,0.94,0.33,1.26,0.26,
CFP,AOT,N/A,N/A,N/A,N/A,1.19,0.28,1.99,0.16,
CS,CA,N/A,N/A,N/A,N/A,0.03,0.86,0.08,0.77,
CS,O,N/A,N/A,N/A,N/A,0.68,0.41,1.15,0.28,
CS,A,N/A,N/A,N/A,N/A,3.85,0.05,3.62,0.06,
CS,AO,N/A,N/A,N/A,N/A,1.17,0.28,1.51,0.22,
CS,OT,N/A,N/A,N/A,N/A,1.15,0.28,1.37,0.24,
CS,AT,N/A,N/A,N/A,N/A,2.27,0.13,0.72,0.40,
CS,AOT,N/A,N/A,N/A,N/A,2.41,0.12,1.67,0.20,
CA,O,N/A,N/A,N/A,N/A,0.49,0.48,0.80,0.37,
CA,A,N/A,N/A,N/A,N/A,1.72,0.19,2.12,0.15,
CA,AO,N/A,N/A,N/A,N/A,0.75,0.39,0.97,0.32,
CA,OT,N/A,N/A,N/A,N/A,0.71,0.40,0.93,0.33,
CA,AT,N/A,N/A,N/A,N/A,0.70,0.40,0.31,0.58,
CA,AOT,N/A,N/A,N/A,N/A,0.91,0.34,1.00,0.32,
O,A,N/A,N/A,N/A,N/A,0.14,0.71,0.15,0.70,
O,AO,N/A,N/A,N/A,N/A,0.03,0.87,0.07,0.80,
O,OT,N/A,N/A,N/A,N/A,0.04,0.84,0.00,0.96,
O,AT,N/A,N/A,N/A,N/A,0.00,0.96,0.13,0.72,
O,AOT,N/A,N/A,N/A,N/A,0.11,0.74,0.02,0.90,
A,AO,N/A,N/A,N/A,N/A,0.11,0.74,0.13,0.72,
A,OT,N/A,N/A,N/A,N/A,0.13,0.72,0.17,0.68,
A,AT,N/A,N/A,N/A,N/A,0.41,0.52,0.84,0.36,
A,AOT,N/A,N/A,N/A,N/A,0.10,0.75,0.21,0.65,
AO,OT,N/A,N/A,N/A,N/A,0.01,0.94,0.00,0.96,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.14,0.70,
AO,AOT,N/A,N/A,N/A,N/A,0.05,0.82,0.03,0.87,
OT,AT,N/A,N/A,N/A,N/A,0.00,0.98,0.07,0.79,
OT,AOT,N/A,N/A,N/A,N/A,0.07,0.80,0.00,0.96,
AT,AOT,N/A,N/A,N/A,N/A,0.01,0.93,0.12,0.73,
