Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,17.42,0.01,0.81,0.37,0.94,0.33,0.31,0.58,
PA,CS,10.54,0.01,0.03,0.86,0.02,0.90,0.14,0.71,
PA,CA,10.99,0.01,0.29,0.59,0.01,0.92,0.00,0.98,
PA,O,6.84,0.01,0.83,0.36,0.25,0.61,0.58,0.44,
PA,A,10.58,0.01,0.08,0.77,0.04,0.84,0.86,0.35,
PA,AO,3.98,0.05,2.83,0.09,1.49,0.22,2.13,0.14,
PA,OT,9.37,0.01,0.34,0.56,1.40,0.24,1.81,0.18,
PA,AT,7.94,0.01,N/A,N/A,0.35,0.55,0.57,0.45,
PA,AOT,7.45,0.01,0.60,0.44,1.41,0.24,1.96,0.16,
CFP,CS,0.21,0.65,0.57,0.45,0.29,0.59,0.02,0.89,
CFP,CA,1.72,0.19,1.82,0.18,1.00,0.32,0.59,0.44,
CFP,O,2.53,0.11,1.74,0.19,1.02,0.31,2.12,0.15,
CFP,A,1.27,0.26,0.08,0.77,0.66,0.42,1.75,0.19,
CFP,AO,5.31,0.02,4.86,0.03,1.87,0.17,3.51,0.06,
CFP,OT,1.60,0.21,1.22,0.27,2.21,0.14,3.88,0.05,
CFP,AT,3.94,0.05,0.79,0.37,1.94,0.16,1.89,0.17,
CFP,AOT,2.91,0.09,2.04,0.15,3.37,0.07,4.89,0.03,
CS,CA,0.45,0.50,0.04,0.84,0.26,0.61,0.37,0.54,
CS,O,0.91,0.34,0.19,0.67,0.29,0.59,0.98,0.32,
CS,A,0.23,0.63,0.19,0.67,0.11,0.74,0.96,0.33,
CS,AO,2.27,0.13,1.16,0.28,0.87,0.35,1.79,0.18,
CS,OT,0.39,0.53,0.04,0.85,1.05,0.31,1.98,0.16,
CS,AT,1.52,0.22,0.03,0.87,0.51,0.48,1.01,0.32,
CS,AOT,1.14,0.28,0.14,0.71,1.32,0.25,2.21,0.14,
CA,O,0.22,0.64,0.20,0.66,0.00,0.95,0.70,0.40,
CA,A,0.02,0.90,0.69,0.41,0.02,0.88,0.51,0.48,
CA,AO,1.51,0.22,1.10,0.29,0.40,0.53,1.63,0.20,
CA,OT,0.01,0.93,0.04,0.84,0.48,0.49,1.87,0.17,
CA,AT,0.59,0.44,0.20,0.65,0.22,0.64,0.58,0.45,
CA,AOT,0.38,0.54,0.12,0.73,0.95,0.33,2.47,0.12,
O,A,0.36,0.55,0.94,0.33,0.03,0.87,0.00,0.97,
O,AO,0.39,0.53,0.38,0.54,0.35,0.55,0.48,0.49,
O,OT,0.17,0.68,0.15,0.70,0.42,0.52,0.41,0.52,
O,AT,0.02,0.89,0.50,0.48,0.09,0.76,0.02,0.90,
O,AOT,0.01,0.91,0.01,0.93,0.65,0.42,0.68,0.41,
A,AO,1.49,0.22,2.29,0.13,0.49,0.49,0.48,0.49,
A,OT,0.03,0.86,0.43,0.51,0.68,0.41,0.26,0.61,
A,AT,0.55,0.46,0.26,0.61,0.26,0.61,0.00,0.99,
A,AOT,0.44,0.51,1.22,0.27,0.95,0.33,0.67,0.41,
AO,OT,1.07,0.30,1.10,0.29,0.00,0.99,0.01,0.93,
AO,AT,0.32,0.57,1.91,0.17,0.12,0.73,0.25,0.62,
AO,AOT,0.27,0.60,0.52,0.47,0.03,0.87,0.01,0.91,
OT,AT,0.39,0.53,0.09,0.77,0.13,0.72,0.15,0.70,
OT,AOT,0.29,0.59,0.08,0.77,0.01,0.93,0.05,0.83,
AT,AOT,N/A,N/A,0.59,0.44,0.32,0.57,0.48,0.49,
