Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
CFP,CS,N/A,N/A,N/A,N/A,1.50,0.22,1.50,0.22,
CFP,CA,N/A,N/A,N/A,N/A,1.00,0.32,1.00,0.32,
CFP,O,N/A,N/A,N/A,N/A,N/A,N/A,2.00,0.16,
CFP,A,N/A,N/A,N/A,N/A,0.09,0.77,0.09,0.77,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,OT,N/A,N/A,N/A,N/A,1.00,0.32,1.00,0.32,
CFP,AT,N/A,N/A,N/A,N/A,1.50,0.22,1.50,0.22,
CFP,AOT,N/A,N/A,N/A,N/A,1.50,0.22,1.50,0.22,
CS,CA,N/A,N/A,N/A,N/A,1.50,0.22,1.50,0.22,
CS,O,N/A,N/A,N/A,N/A,3.43,0.06,3.43,0.06,
CS,A,N/A,N/A,N/A,N/A,1.35,0.25,1.35,0.25,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,OT,N/A,N/A,N/A,N/A,1.50,0.22,1.50,0.22,
CS,AT,N/A,N/A,N/A,N/A,2.40,0.12,2.40,0.12,
CS,AOT,N/A,N/A,N/A,N/A,2.40,0.12,2.40,0.12,
CA,O,N/A,N/A,N/A,N/A,2.00,0.16,2.00,0.16,
CA,A,N/A,N/A,N/A,N/A,2.14,0.14,2.14,0.14,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CA,OT,N/A,N/A,N/A,N/A,1.00,0.32,1.00,0.32,
CA,AT,N/A,N/A,N/A,N/A,1.50,0.22,1.50,0.22,
CA,AOT,N/A,N/A,N/A,N/A,1.50,0.22,1.50,0.22,
O,A,N/A,N/A,N/A,N/A,0.24,0.62,0.24,0.62,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,OT,N/A,N/A,N/A,N/A,N/A,N/A,2.00,0.16,
O,AT,N/A,N/A,N/A,N/A,0.86,0.35,0.86,0.35,
O,AOT,N/A,N/A,N/A,N/A,0.86,0.35,3.43,0.06,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A,OT,N/A,N/A,N/A,N/A,0.09,0.77,0.09,0.77,
A,AT,N/A,N/A,N/A,N/A,0.15,0.70,0.15,0.70,
A,AOT,N/A,N/A,N/A,N/A,0.15,0.70,0.15,0.70,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OT,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,1.50,0.22,
AT,AOT,N/A,N/A,N/A,N/A,0.60,0.44,2.40,0.12,
