Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
CFP,CS,N/A,N/A,N/A,N/A,2.79,0.09,0.02,0.90,
CFP,CA,N/A,N/A,N/A,N/A,3.27,0.07,0.09,0.76,
CFP,O,N/A,N/A,N/A,N/A,6.51,0.01,0.03,0.85,
CFP,A,N/A,N/A,N/A,N/A,10.07,0.01,5.71,0.02,
CFP,AO,N/A,N/A,N/A,N/A,8.15,0.01,1.27,0.26,
CFP,OT,N/A,N/A,N/A,N/A,11.04,0.01,4.10,0.04,
CFP,AT,N/A,N/A,N/A,N/A,10.12,0.01,1.41,0.23,
CFP,AOT,N/A,N/A,N/A,N/A,12.69,0.01,3.92,0.05,
CS,CA,N/A,N/A,N/A,N/A,0.18,0.67,0.80,0.37,
CS,O,N/A,N/A,N/A,N/A,2.80,0.09,1.65,0.20,
CS,A,N/A,N/A,N/A,N/A,2.34,0.13,3.77,0.05,
CS,AO,N/A,N/A,N/A,N/A,2.15,0.14,2.48,0.12,
CS,OT,N/A,N/A,N/A,N/A,3.17,0.08,5.05,0.02,
CS,AT,N/A,N/A,N/A,N/A,2.86,0.09,0.11,0.75,
CS,AOT,N/A,N/A,N/A,N/A,4.03,0.04,2.12,0.15,
CA,O,N/A,N/A,N/A,N/A,1.54,0.21,1.34,0.25,
CA,A,N/A,N/A,N/A,N/A,2.69,0.10,4.31,0.04,
CA,AO,N/A,N/A,N/A,N/A,1.22,0.27,0.82,0.36,
CA,OT,N/A,N/A,N/A,N/A,3.64,0.06,3.94,0.05,
CA,AT,N/A,N/A,N/A,N/A,2.90,0.09,0.24,0.62,
CA,AOT,N/A,N/A,N/A,N/A,4.79,0.03,2.74,0.10,
O,A,N/A,N/A,N/A,N/A,0.12,0.73,5.86,0.02,
O,AO,N/A,N/A,N/A,N/A,0.01,0.91,3.42,0.06,
O,OT,N/A,N/A,N/A,N/A,0.34,0.56,3.85,0.05,
O,AT,N/A,N/A,N/A,N/A,0.29,0.59,1.40,0.24,
O,AOT,N/A,N/A,N/A,N/A,0.79,0.38,2.24,0.13,
A,AO,N/A,N/A,N/A,N/A,1.89,0.17,2.29,0.13,
A,OT,N/A,N/A,N/A,N/A,0.75,0.39,1.01,0.31,
A,AT,N/A,N/A,N/A,N/A,0.99,0.32,3.38,0.07,
A,AOT,N/A,N/A,N/A,N/A,0.41,0.52,1.37,0.24,
AO,OT,N/A,N/A,N/A,N/A,1.70,0.19,3.02,0.08,
AO,AT,N/A,N/A,N/A,N/A,0.89,0.34,0.11,0.74,
AO,AOT,N/A,N/A,N/A,N/A,3.03,0.08,2.13,0.14,
OT,AT,N/A,N/A,N/A,N/A,0.77,0.38,0.50,0.48,
OT,AOT,N/A,N/A,N/A,N/A,0.04,0.84,0.04,0.84,
AT,AOT,N/A,N/A,N/A,N/A,1.97,0.16,1.86,0.17,
