Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
CFP,CS,2.95,0.09,1.25,0.26,16.70,0.01,33.28,0.01,
CFP,CA,0.59,0.44,9.46,0.01,22.63,0.01,58.37,0.01,
CFP,O,0.72,0.40,5.39,0.02,13.27,0.01,35.45,0.01,
CFP,A,0.93,0.33,16.18,0.01,11.12,0.01,35.99,0.01,
CFP,AO,0.91,0.34,12.42,0.01,13.09,0.01,36.93,0.01,
CFP,OT,0.01,0.92,6.29,0.01,16.54,0.01,39.50,0.01,
CFP,AT,0.05,0.82,3.72,0.05,13.05,0.01,30.31,0.01,
CFP,AOT,0.49,0.48,7.88,0.01,13.76,0.01,36.32,0.01,
CS,CA,0.47,0.49,21.65,0.01,4.49,0.03,12.06,0.01,
CS,O,6.84,0.01,11.51,0.01,0.06,0.80,0.88,0.35,
CS,A,6.45,0.01,24.59,0.01,0.21,0.65,4.08,0.04,
CS,AO,7.67,0.01,21.57,0.01,0.18,0.67,0.86,0.36,
CS,OT,3.27,0.07,12.16,0.01,0.13,0.72,2.24,0.13,
CS,AT,1.52,0.22,9.56,0.01,0.18,0.68,1.21,0.27,
CS,AOT,5.91,0.02,17.19,0.01,0.02,0.90,0.98,0.32,
CA,O,2.90,0.09,2.37,0.12,4.64,0.03,6.89,0.01,
CA,A,4.03,0.04,0.28,0.59,0.78,0.38,0.27,0.61,
CA,AO,3.80,0.05,0.34,0.56,7.25,0.01,7.68,0.01,
CA,OT,0.81,0.37,2.42,0.12,2.99,0.08,4.60,0.03,
CA,AT,0.20,0.66,4.16,0.04,2.59,0.11,3.20,0.07,
CA,AOT,2.57,0.11,1.46,0.23,4.64,0.03,6.28,0.01,
O,A,0.02,0.89,3.22,0.07,1.20,0.27,0.63,0.43,
O,AO,0.08,0.77,4.72,0.03,0.05,0.83,0.04,0.85,
O,OT,0.34,0.56,0.03,0.86,0.54,0.46,0.47,0.49,
O,AT,0.73,0.39,1.43,0.23,0.95,0.33,0.37,0.54,
O,AOT,N/A,N/A,1.53,0.22,0.09,0.76,0.02,0.88,
A,AO,0.00,0.95,0.07,0.78,0.67,0.41,1.88,0.17,
A,OT,0.45,0.50,4.14,0.04,0.00,0.95,0.42,0.52,
A,AT,0.90,0.34,5.56,0.02,0.17,0.68,0.49,0.48,
A,AOT,0.03,0.87,1.79,0.18,0.55,0.46,2.37,0.12,
AO,OT,1.03,0.31,3.67,0.06,0.47,0.49,0.36,0.55,
AO,AT,1.77,0.18,6.44,0.01,1.51,0.22,0.60,0.44,
AO,AOT,0.18,0.67,0.32,0.57,0.22,0.64,0.33,0.56,
OT,AT,0.10,0.75,0.68,0.41,0.15,0.70,0.03,0.87,
OT,AOT,0.41,0.52,0.88,0.35,0.11,0.74,0.10,0.75,
AT,AOT,0.90,0.34,2.71,0.10,0.09,0.77,0.08,0.78,
