Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
CFP,CS,N/A,N/A,N/A,N/A,N/A,N/A,3.93,0.05,
CFP,CA,N/A,N/A,N/A,N/A,N/A,N/A,0.26,0.61,
CFP,O,N/A,N/A,N/A,N/A,N/A,N/A,0.74,0.39,
CFP,A,N/A,N/A,N/A,N/A,N/A,N/A,1.72,0.19,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,6.60,0.01,
CFP,OT,N/A,N/A,N/A,N/A,N/A,N/A,6.94,0.01,
CFP,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.56,0.46,
CFP,AOT,N/A,N/A,N/A,N/A,N/A,N/A,3.69,0.05,
CS,CA,N/A,N/A,N/A,N/A,N/A,N/A,4.98,0.03,
CS,O,N/A,N/A,N/A,N/A,N/A,N/A,0.54,0.46,
CS,A,N/A,N/A,N/A,N/A,N/A,N/A,1.24,0.27,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,21.15,0.01,
CS,OT,N/A,N/A,N/A,N/A,N/A,N/A,15.21,0.01,
CS,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.80,0.37,
CS,AOT,N/A,N/A,N/A,N/A,6.71,0.01,12.00,0.01,
CA,O,N/A,N/A,N/A,N/A,N/A,N/A,0.53,0.47,
CA,A,N/A,N/A,N/A,N/A,N/A,N/A,2.20,0.14,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,6.05,0.01,
CA,OT,N/A,N/A,N/A,N/A,N/A,N/A,3.09,0.08,
CA,AT,N/A,N/A,N/A,N/A,N/A,N/A,2.79,0.09,
CA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,3.86,0.05,
O,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,8.50,0.01,
O,OT,N/A,N/A,N/A,N/A,N/A,N/A,5.95,0.01,
O,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.25,0.61,
O,AOT,N/A,N/A,N/A,N/A,6.26,0.01,5.55,0.02,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,19.65,0.01,
A,OT,N/A,N/A,N/A,N/A,N/A,N/A,10.27,0.01,
A,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.04,0.84,
A,AOT,N/A,N/A,N/A,N/A,N/A,N/A,10.05,0.01,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.32,0.57,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,14.07,0.01,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.09,0.76,
OT,AT,N/A,N/A,N/A,N/A,N/A,N/A,9.50,0.01,
OT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.07,0.79,
AT,AOT,N/A,N/A,N/A,N/A,4.15,0.04,7.95,0.01,
