Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,224.00,0.36,206.00,0.22,
PA,CS,N/A,N/A,N/A,N/A,310.00,0.19,309.00,0.19,
PA,CA,N/A,N/A,N/A,N/A,208.00,0.23,167.00,0.05,
PA,O,N/A,N/A,N/A,N/A,326.00,0.37,263.00,0.07,
PA,A,N/A,N/A,N/A,N/A,334.50,0.33,335.00,0.33,
PA,AO,N/A,N/A,N/A,N/A,312.00,0.37,316.50,0.40,
PA,OT,N/A,N/A,N/A,N/A,332.50,0.41,232.00,0.02,
PA,AT,N/A,N/A,N/A,N/A,327.00,0.29,300.00,0.15,
PA,AOT,N/A,N/A,N/A,N/A,357.00,0.38,368.00,0.46,
CFP,CS,N/A,N/A,N/A,N/A,159.00,0.18,187.00,0.45,
CFP,CA,N/A,N/A,N/A,N/A,105.00,0.20,108.00,0.23,
CFP,O,N/A,N/A,N/A,N/A,167.50,0.32,166.00,0.31,
CFP,A,N/A,N/A,N/A,N/A,173.00,0.30,152.00,0.14,
CFP,AO,N/A,N/A,N/A,N/A,162.00,0.34,140.00,0.15,
CFP,OT,N/A,N/A,N/A,N/A,171.00,0.36,158.00,0.23,
CFP,AT,N/A,N/A,N/A,N/A,179.00,0.37,133.00,0.05,
CFP,AOT,N/A,N/A,N/A,N/A,182.00,0.32,176.00,0.26,
CS,CA,N/A,N/A,N/A,N/A,188.00,0.46,157.00,0.17,
CS,O,N/A,N/A,N/A,N/A,250.00,0.29,246.00,0.27,
CS,A,N/A,N/A,N/A,N/A,285.00,0.48,226.00,0.10,
CS,AO,N/A,N/A,N/A,N/A,239.00,0.30,211.00,0.12,
CS,OT,N/A,N/A,N/A,N/A,244.00,0.25,219.00,0.11,
CS,AT,N/A,N/A,N/A,N/A,229.50,0.12,195.00,0.03,
CS,AOT,N/A,N/A,N/A,N/A,275.00,0.31,255.00,0.19,
CA,O,N/A,N/A,N/A,N/A,164.00,0.29,172.00,0.37,
CA,A,N/A,N/A,N/A,N/A,190.00,0.48,117.00,0.02,
CA,AO,N/A,N/A,N/A,N/A,158.50,0.31,111.00,0.03,
CA,OT,N/A,N/A,N/A,N/A,160.00,0.25,180.00,0.46,
CA,AT,N/A,N/A,N/A,N/A,159.00,0.18,103.00,0.01,
CA,AOT,N/A,N/A,N/A,N/A,183.00,0.33,142.00,0.06,
O,A,N/A,N/A,N/A,N/A,258.00,0.35,189.00,0.03,
O,AO,N/A,N/A,N/A,N/A,249.00,0.47,178.00,0.05,
O,OT,N/A,N/A,N/A,N/A,258.50,0.45,229.00,0.22,
O,AT,N/A,N/A,N/A,N/A,255.50,0.34,156.00,0.01,
O,AOT,N/A,N/A,N/A,N/A,280.00,0.44,220.00,0.08,
A,AO,N/A,N/A,N/A,N/A,247.00,0.36,256.50,0.44,
A,OT,N/A,N/A,N/A,N/A,252.00,0.31,164.00,0.01,
A,AT,N/A,N/A,N/A,N/A,236.00,0.14,259.00,0.28,
A,AOT,N/A,N/A,N/A,N/A,281.00,0.36,275.50,0.32,
AO,OT,N/A,N/A,N/A,N/A,246.00,0.44,162.00,0.02,
AO,AT,N/A,N/A,N/A,N/A,245.50,0.35,238.00,0.29,
AO,AOT,N/A,N/A,N/A,N/A,264.50,0.42,254.00,0.33,
OT,AT,N/A,N/A,N/A,N/A,265.00,0.41,129.50,0.01,
OT,AOT,N/A,N/A,N/A,N/A,271.00,0.37,198.00,0.03,
AT,AOT,N/A,N/A,N/A,N/A,279.00,0.34,246.00,0.14,
