Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,CS,N/A,N/A,N/A,N/A,352.50,0.47,357.00,0.50,
CFP,CA,N/A,N/A,N/A,N/A,320.00,0.05,334.00,0.08,
CFP,O,N/A,N/A,N/A,N/A,248.50,0.32,253.00,0.35,
CFP,A,N/A,N/A,N/A,N/A,358.00,0.40,368.00,0.46,
CFP,AO,N/A,N/A,N/A,N/A,265.50,0.14,257.00,0.11,
CFP,OT,N/A,N/A,N/A,N/A,271.50,0.50,263.00,0.43,
CFP,AT,N/A,N/A,N/A,N/A,246.00,0.30,233.00,0.21,
CFP,AOT,N/A,N/A,N/A,N/A,278.00,0.20,274.00,0.18,
CS,CA,N/A,N/A,N/A,N/A,187.50,0.05,206.00,0.11,
CS,O,N/A,N/A,N/A,N/A,161.50,0.43,160.00,0.41,
CS,A,N/A,N/A,N/A,N/A,229.00,0.49,225.00,0.45,
CS,AO,N/A,N/A,N/A,N/A,166.00,0.19,156.00,0.12,
CS,OT,N/A,N/A,N/A,N/A,158.00,0.39,160.00,0.41,
CS,AT,N/A,N/A,N/A,N/A,142.50,0.22,143.00,0.23,
CS,AOT,N/A,N/A,N/A,N/A,179.00,0.29,165.00,0.18,
CA,O,N/A,N/A,N/A,N/A,164.00,0.17,182.00,0.32,
CA,A,N/A,N/A,N/A,N/A,202.00,0.06,220.00,0.12,
CA,AO,N/A,N/A,N/A,N/A,228.50,0.42,224.00,0.38,
CA,OT,N/A,N/A,N/A,N/A,145.00,0.07,164.00,0.17,
CA,AT,N/A,N/A,N/A,N/A,108.50,0.01,123.00,0.02,
CA,AOT,N/A,N/A,N/A,N/A,208.50,0.25,229.00,0.42,
O,A,N/A,N/A,N/A,N/A,170.00,0.44,164.00,0.37,
O,AO,N/A,N/A,N/A,N/A,135.00,0.29,123.00,0.17,
O,OT,N/A,N/A,N/A,N/A,113.00,0.29,122.00,0.42,
O,AT,N/A,N/A,N/A,N/A,99.00,0.14,102.00,0.17,
O,AOT,N/A,N/A,N/A,N/A,144.00,0.40,131.00,0.25,
A,AO,N/A,N/A,N/A,N/A,178.00,0.21,166.00,0.13,
A,OT,N/A,N/A,N/A,N/A,166.50,0.40,168.00,0.41,
A,AT,N/A,N/A,N/A,N/A,145.50,0.19,149.00,0.22,
A,AOT,N/A,N/A,N/A,N/A,188.00,0.30,175.00,0.19,
AO,OT,N/A,N/A,N/A,N/A,119.50,0.14,113.00,0.10,
AO,AT,N/A,N/A,N/A,N/A,102.00,0.05,98.00,0.04,
AO,AOT,N/A,N/A,N/A,N/A,168.50,0.37,171.00,0.40,
OT,AT,N/A,N/A,N/A,N/A,112.00,0.28,118.00,0.36,
OT,AOT,N/A,N/A,N/A,N/A,129.50,0.23,120.00,0.15,
AT,AOT,N/A,N/A,N/A,N/A,111.00,0.09,106.00,0.07,
