Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,376.00,0.02,525.00,0.47,303.50,0.01,268.00,0.01,
PA,CS,326.00,0.01,467.50,0.20,299.00,0.01,248.00,0.01,
PA,CA,419.50,0.05,536.50,0.45,427.00,0.07,372.00,0.01,
PA,O,614.50,0.27,527.50,0.06,388.00,0.01,340.00,0.01,
PA,A,467.00,0.10,570.00,0.48,470.00,0.10,413.00,0.02,
PA,AO,580.00,0.24,528.00,0.10,412.50,0.01,363.00,0.01,
PA,OT,570.50,0.17,544.00,0.11,396.50,0.01,342.00,0.01,
PA,AT,443.00,0.03,580.00,0.40,517.50,0.16,456.00,0.04,
PA,AOT,489.00,0.06,600.50,0.37,478.50,0.04,409.00,0.01,
CFP,CS,625.00,0.16,647.00,0.22,664.50,0.28,696.00,0.40,
CFP,CA,695.50,0.32,722.00,0.43,566.50,0.04,582.00,0.05,
CFP,O,712.50,0.04,685.00,0.02,844.50,0.28,885.00,0.41,
CFP,A,727.00,0.31,770.50,0.47,586.50,0.03,606.00,0.05,
CFP,AO,705.00,0.06,688.50,0.05,757.00,0.15,792.00,0.23,
CFP,OT,756.50,0.11,707.00,0.05,825.00,0.28,858.00,0.38,
CFP,AT,799.50,0.44,807.00,0.46,572.00,0.01,586.00,0.01,
CFP,AOT,806.00,0.33,772.50,0.23,672.00,0.05,707.00,0.09,
CS,CA,627.50,0.12,652.50,0.18,606.50,0.09,600.00,0.08,
CS,O,614.00,0.01,628.50,0.01,891.00,0.43,894.00,0.44,
CS,A,625.50,0.07,705.50,0.24,603.00,0.04,612.00,0.05,
CS,AO,618.00,0.01,641.00,0.02,798.00,0.25,825.00,0.33,
CS,OT,646.00,0.01,648.00,0.02,871.00,0.42,885.00,0.47,
CS,AT,715.50,0.17,753.50,0.28,583.50,0.01,587.00,0.01,
CS,AOT,699.50,0.08,708.00,0.09,699.00,0.08,716.00,0.10,
CA,O,782.50,0.10,766.00,0.07,782.50,0.10,756.00,0.06,
CA,A,768.50,0.38,796.00,0.49,789.50,0.46,789.00,0.46,
CA,AO,766.00,0.12,764.00,0.12,806.50,0.21,786.00,0.16,
CA,OT,824.00,0.21,779.50,0.12,779.00,0.12,747.00,0.07,
CA,AT,793.00,0.34,819.50,0.43,767.50,0.26,778.00,0.29,
CA,AOT,865.00,0.46,834.00,0.35,873.00,0.49,851.00,0.41,
O,A,869.50,0.17,790.00,0.06,793.00,0.06,786.00,0.05,
O,AO,1082.50,0.44,1085.50,0.45,1044.50,0.33,1015.00,0.25,
O,OT,1051.00,0.28,1083.50,0.37,1124.00,0.49,1119.00,0.47,
O,AT,806.00,0.04,777.00,0.02,766.00,0.02,754.00,0.01,
O,AOT,911.50,0.10,920.00,0.11,909.00,0.09,894.00,0.08,
A,AO,860.00,0.24,789.50,0.10,811.50,0.13,822.00,0.15,
A,OT,905.00,0.31,808.00,0.10,780.50,0.06,769.00,0.05,
A,AT,825.50,0.31,859.50,0.42,835.50,0.34,837.00,0.35,
A,AOT,903.50,0.44,873.00,0.34,881.50,0.36,870.00,0.33,
AO,OT,1032.00,0.35,1060.50,0.44,1027.50,0.34,1001.00,0.27,
AO,AT,809.50,0.07,784.00,0.05,792.50,0.05,795.00,0.06,
AO,AOT,904.00,0.15,913.00,0.17,933.00,0.21,938.00,0.22,
OT,AT,849.50,0.10,800.50,0.05,757.00,0.02,740.00,0.01,
OT,AOT,963.00,0.23,941.50,0.18,897.50,0.11,880.00,0.08,
AT,AOT,917.00,0.34,873.00,0.22,872.50,0.22,860.00,0.19,
