Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,138.00,0.01,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,248.00,0.03,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,401.00,0.39,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,165.00,0.02,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,223.00,0.16,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,165.00,0.02,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,174.00,0.01,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,326.00,0.30,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,191.00,0.19,
CFP,CS,N/A,N/A,N/A,N/A,N/A,N/A,81.00,0.18,
CFP,CA,N/A,N/A,N/A,N/A,N/A,N/A,76.00,0.05,
CFP,O,N/A,N/A,N/A,N/A,N/A,N/A,76.00,0.47,
CFP,A,N/A,N/A,N/A,N/A,N/A,N/A,61.00,0.18,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,78.00,0.49,
CFP,OT,N/A,N/A,N/A,N/A,N/A,N/A,83.00,0.49,
CFP,AT,N/A,N/A,N/A,N/A,N/A,N/A,68.00,0.07,
CFP,AOT,N/A,N/A,N/A,N/A,N/A,N/A,54.00,0.24,
CS,CA,N/A,N/A,N/A,N/A,N/A,N/A,129.00,0.11,
CS,O,N/A,N/A,N/A,N/A,N/A,N/A,93.00,0.24,
CS,A,N/A,N/A,N/A,N/A,N/A,N/A,100.00,0.34,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,95.00,0.27,
CS,OT,N/A,N/A,N/A,N/A,N/A,N/A,101.00,0.24,
CS,AT,N/A,N/A,N/A,N/A,N/A,N/A,116.00,0.17,
CS,AOT,N/A,N/A,N/A,N/A,N/A,N/A,91.00,0.46,
CA,O,N/A,N/A,N/A,N/A,N/A,N/A,86.00,0.05,
CA,A,N/A,N/A,N/A,N/A,N/A,N/A,115.00,0.30,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,85.00,0.05,
CA,OT,N/A,N/A,N/A,N/A,N/A,N/A,92.00,0.05,
CA,AT,N/A,N/A,N/A,N/A,N/A,N/A,162.00,0.41,
CA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,97.00,0.30,
O,A,N/A,N/A,N/A,N/A,N/A,N/A,63.00,0.14,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,82.00,0.46,
O,OT,N/A,N/A,N/A,N/A,N/A,N/A,91.00,0.49,
O,AT,N/A,N/A,N/A,N/A,N/A,N/A,80.00,0.10,
O,AOT,N/A,N/A,N/A,N/A,N/A,N/A,60.00,0.26,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,62.00,0.13,
A,OT,N/A,N/A,N/A,N/A,N/A,N/A,66.00,0.12,
A,AT,N/A,N/A,N/A,N/A,N/A,N/A,104.00,0.40,
A,AOT,N/A,N/A,N/A,N/A,N/A,N/A,66.00,0.39,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,85.00,0.39,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,80.00,0.10,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,59.00,0.24,
OT,AT,N/A,N/A,N/A,N/A,N/A,N/A,86.00,0.10,
OT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,67.00,0.30,
AT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,85.00,0.35,
