Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,CS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,CA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,CA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CA,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CA,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CA,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CA,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OT,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
