Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,CS,N/A,N/A,N/A,N/A,522.50,0.48,486.00,0.30,
CFP,CA,N/A,N/A,N/A,N/A,386.00,0.47,357.00,0.29,
CFP,O,N/A,N/A,N/A,N/A,442.00,0.24,388.00,0.07,
CFP,A,N/A,N/A,N/A,N/A,337.00,0.09,303.00,0.03,
CFP,AO,N/A,N/A,N/A,N/A,417.00,0.20,372.00,0.07,
CFP,OT,N/A,N/A,N/A,N/A,415.50,0.20,370.00,0.07,
CFP,AT,N/A,N/A,N/A,N/A,331.50,0.17,322.00,0.13,
CFP,AOT,N/A,N/A,N/A,N/A,354.00,0.14,333.00,0.08,
CS,CA,N/A,N/A,N/A,N/A,346.50,0.43,340.00,0.39,
CS,O,N/A,N/A,N/A,N/A,394.00,0.21,377.00,0.14,
CS,A,N/A,N/A,N/A,N/A,268.50,0.03,272.00,0.03,
CS,AO,N/A,N/A,N/A,N/A,363.00,0.14,353.00,0.11,
CS,OT,N/A,N/A,N/A,N/A,363.50,0.14,357.00,0.12,
CS,AT,N/A,N/A,N/A,N/A,270.50,0.07,308.00,0.20,
CS,AOT,N/A,N/A,N/A,N/A,293.50,0.06,309.00,0.10,
CA,O,N/A,N/A,N/A,N/A,295.50,0.24,285.00,0.19,
CA,A,N/A,N/A,N/A,N/A,224.00,0.10,217.00,0.07,
CA,AO,N/A,N/A,N/A,N/A,276.50,0.20,270.00,0.16,
CA,OT,N/A,N/A,N/A,N/A,277.50,0.20,271.00,0.17,
CA,AT,N/A,N/A,N/A,N/A,226.50,0.20,239.00,0.29,
CA,AOT,N/A,N/A,N/A,N/A,241.50,0.17,239.00,0.16,
O,A,N/A,N/A,N/A,N/A,341.00,0.36,340.00,0.35,
O,AO,N/A,N/A,N/A,N/A,395.50,0.44,390.00,0.40,
O,OT,N/A,N/A,N/A,N/A,393.50,0.42,403.00,0.48,
O,AT,N/A,N/A,N/A,N/A,331.00,0.49,314.00,0.36,
O,AOT,N/A,N/A,N/A,N/A,343.50,0.37,355.00,0.45,
A,AO,N/A,N/A,N/A,N/A,331.50,0.37,330.00,0.36,
A,OT,N/A,N/A,N/A,N/A,330.00,0.36,327.00,0.34,
A,AT,N/A,N/A,N/A,N/A,256.50,0.26,243.00,0.18,
A,AOT,N/A,N/A,N/A,N/A,296.00,0.38,289.00,0.33,
AO,OT,N/A,N/A,N/A,N/A,387.50,0.47,389.00,0.48,
AO,AT,N/A,N/A,N/A,N/A,321.50,0.50,302.00,0.36,
AO,AOT,N/A,N/A,N/A,N/A,337.50,0.42,341.00,0.44,
OT,AT,N/A,N/A,N/A,N/A,321.00,0.50,308.00,0.40,
OT,AOT,N/A,N/A,N/A,N/A,335.50,0.40,347.00,0.48,
AT,AOT,N/A,N/A,N/A,N/A,283.00,0.47,271.00,0.37,
