Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,179.00,0.01,415.00,0.19,410.00,0.17,440.00,0.29,
PA,CS,193.00,0.01,389.00,0.43,392.00,0.45,376.00,0.36,
PA,CA,294.00,0.01,516.50,0.30,551.50,0.46,558.00,0.49,
PA,O,424.00,0.01,578.00,0.18,614.50,0.31,591.00,0.22,
PA,A,353.00,0.01,614.50,0.39,622.50,0.42,558.00,0.18,
PA,AO,400.00,0.02,425.00,0.05,462.00,0.11,443.00,0.07,
PA,OT,356.00,0.01,570.00,0.28,518.00,0.12,504.00,0.09,
PA,AT,377.00,0.01,619.50,0.50,569.00,0.28,555.00,0.23,
PA,AOT,370.00,0.01,534.50,0.22,500.00,0.12,482.00,0.08,
CFP,CS,220.50,0.33,208.00,0.23,217.00,0.30,234.00,0.45,
CFP,CA,264.50,0.10,262.50,0.09,281.50,0.16,294.00,0.22,
CFP,O,297.50,0.06,314.50,0.10,333.50,0.16,306.00,0.07,
CFP,A,316.00,0.13,366.50,0.39,335.00,0.21,304.00,0.09,
CFP,AO,210.50,0.01,216.00,0.01,261.50,0.09,234.00,0.03,
CFP,OT,297.50,0.10,307.00,0.14,284.50,0.07,256.00,0.02,
CFP,AT,255.00,0.02,319.50,0.19,290.00,0.08,291.00,0.09,
CFP,AOT,262.00,0.04,278.00,0.08,254.50,0.03,233.00,0.01,
CS,CA,248.00,0.26,270.50,0.43,255.50,0.31,251.00,0.28,
CS,O,278.00,0.17,306.50,0.34,300.50,0.30,276.00,0.16,
CS,A,294.50,0.32,297.00,0.34,302.50,0.37,268.00,0.17,
CS,AO,208.00,0.07,228.50,0.14,235.50,0.18,216.00,0.09,
CS,OT,277.50,0.27,300.00,0.43,257.00,0.16,237.00,0.08,
CS,AT,246.00,0.11,301.50,0.44,273.00,0.24,258.00,0.16,
CS,AOT,246.00,0.14,281.00,0.36,242.00,0.13,225.00,0.07,
CA,O,429.50,0.32,431.50,0.33,457.50,0.48,404.00,0.20,
CA,A,439.50,0.45,392.00,0.21,437.50,0.44,400.00,0.24,
CA,AO,317.00,0.11,328.00,0.15,353.50,0.27,314.00,0.10,
CA,OT,428.50,0.47,421.00,0.42,388.50,0.25,344.00,0.09,
CA,AT,383.50,0.22,404.50,0.33,403.00,0.32,384.00,0.23,
CA,AOT,380.50,0.27,398.00,0.37,357.50,0.17,319.00,0.06,
O,A,482.50,0.28,454.00,0.17,515.50,0.44,525.00,0.49,
O,AO,419.00,0.27,419.50,0.27,421.00,0.28,414.00,0.25,
O,OT,481.00,0.34,482.50,0.35,463.50,0.26,464.00,0.26,
O,AT,501.50,0.45,459.00,0.24,489.00,0.38,502.00,0.45,
O,AOT,486.50,0.46,488.50,0.47,436.50,0.21,435.00,0.21,
A,AO,365.50,0.11,346.00,0.07,401.00,0.25,401.00,0.25,
A,OT,483.50,0.43,448.50,0.26,436.00,0.21,459.00,0.31,
A,AT,442.00,0.23,459.00,0.31,459.00,0.31,495.00,0.50,
A,AOT,433.00,0.26,401.50,0.14,411.00,0.17,422.00,0.21,
AO,OT,366.00,0.15,365.00,0.15,433.00,0.50,428.00,0.47,
AO,AT,396.50,0.29,343.00,0.08,411.50,0.37,401.00,0.31,
AO,AOT,386.50,0.30,373.50,0.24,409.50,0.44,413.00,0.46,
OT,AT,436.00,0.27,459.50,0.39,455.00,0.36,453.00,0.35,
OT,AOT,428.00,0.30,445.00,0.39,458.50,0.47,450.00,0.42,
AT,AOT,464.50,0.50,412.00,0.22,425.50,0.29,417.00,0.25,
