Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,717.00,0.01,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,882.00,0.01,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,1208.00,0.06,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,802.00,0.01,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,922.00,0.01,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,908.00,0.01,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,885.00,0.01,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,1030.00,0.01,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,961.00,0.01,
CFP,CS,N/A,N/A,N/A,N/A,N/A,N/A,967.00,0.31,
CFP,CA,N/A,N/A,N/A,N/A,N/A,N/A,851.00,0.08,
CFP,O,N/A,N/A,N/A,N/A,N/A,N/A,653.00,0.08,
CFP,A,N/A,N/A,N/A,N/A,N/A,N/A,748.00,0.09,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,763.00,0.08,
CFP,OT,N/A,N/A,N/A,N/A,N/A,N/A,695.00,0.07,
CFP,AT,N/A,N/A,N/A,N/A,N/A,N/A,743.00,0.03,
CFP,AOT,N/A,N/A,N/A,N/A,N/A,N/A,792.00,0.10,
CS,CA,N/A,N/A,N/A,N/A,N/A,N/A,1028.00,0.11,
CS,O,N/A,N/A,N/A,N/A,N/A,N/A,830.00,0.19,
CS,A,N/A,N/A,N/A,N/A,N/A,N/A,942.00,0.19,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,960.00,0.18,
CS,OT,N/A,N/A,N/A,N/A,N/A,N/A,877.00,0.15,
CS,AT,N/A,N/A,N/A,N/A,N/A,N/A,942.00,0.08,
CS,AOT,N/A,N/A,N/A,N/A,N/A,N/A,995.00,0.21,
CA,O,N/A,N/A,N/A,N/A,N/A,N/A,876.00,0.32,
CA,A,N/A,N/A,N/A,N/A,N/A,N/A,1004.00,0.35,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,1016.00,0.32,
CA,OT,N/A,N/A,N/A,N/A,N/A,N/A,961.00,0.36,
CA,AT,N/A,N/A,N/A,N/A,N/A,N/A,1122.00,0.49,
CA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,1039.00,0.32,
O,A,N/A,N/A,N/A,N/A,N/A,N/A,809.00,0.47,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,833.00,0.49,
O,OT,N/A,N/A,N/A,N/A,N/A,N/A,761.00,0.43,
O,AT,N/A,N/A,N/A,N/A,N/A,N/A,829.00,0.34,
O,AOT,N/A,N/A,N/A,N/A,N/A,N/A,855.00,0.50,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,941.00,0.48,
A,OT,N/A,N/A,N/A,N/A,N/A,N/A,868.00,0.45,
A,AT,N/A,N/A,N/A,N/A,N/A,N/A,943.00,0.35,
A,AOT,N/A,N/A,N/A,N/A,N/A,N/A,960.00,0.48,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,881.00,0.43,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,953.00,0.32,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,989.00,0.50,
OT,AT,N/A,N/A,N/A,N/A,N/A,N/A,910.00,0.39,
OT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,897.00,0.41,
AT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,974.00,0.32,
