Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
CFP,CS,N/A,N/A,N/A,N/A,0.00,0.27,0.00,0.27,
CFP,CA,N/A,N/A,N/A,N/A,0.00,0.50,0.00,0.50,
CFP,O,N/A,N/A,N/A,N/A,2.00,0.36,0.00,0.14,
CFP,A,N/A,N/A,N/A,N/A,2.00,0.50,2.00,0.50,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CFP,OT,N/A,N/A,N/A,N/A,0.00,0.50,0.00,0.50,
CFP,AT,N/A,N/A,N/A,N/A,0.00,0.27,0.00,0.27,
CFP,AOT,N/A,N/A,N/A,N/A,0.00,0.27,0.00,0.27,
CS,CA,N/A,N/A,N/A,N/A,0.00,0.27,0.00,0.27,
CS,O,N/A,N/A,N/A,N/A,0.00,0.05,0.00,0.05,
CS,A,N/A,N/A,N/A,N/A,2.00,0.17,2.00,0.17,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CS,OT,N/A,N/A,N/A,N/A,0.00,0.27,0.00,0.27,
CS,AT,N/A,N/A,N/A,N/A,0.00,0.12,0.00,0.12,
CS,AOT,N/A,N/A,N/A,N/A,0.00,0.12,0.00,0.12,
CA,O,N/A,N/A,N/A,N/A,0.00,0.14,0.00,0.14,
CA,A,N/A,N/A,N/A,N/A,0.00,0.12,0.00,0.12,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
CA,OT,N/A,N/A,N/A,N/A,0.00,0.50,0.00,0.50,
CA,AT,N/A,N/A,N/A,N/A,0.00,0.27,0.00,0.27,
CA,AOT,N/A,N/A,N/A,N/A,0.00,0.27,0.00,0.27,
O,A,N/A,N/A,N/A,N/A,8.00,0.36,8.00,0.36,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O,OT,N/A,N/A,N/A,N/A,2.00,0.36,0.00,0.14,
O,AT,N/A,N/A,N/A,N/A,2.00,0.24,2.00,0.24,
O,AOT,N/A,N/A,N/A,N/A,2.00,0.24,0.00,0.05,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A,OT,N/A,N/A,N/A,N/A,2.00,0.50,2.00,0.50,
A,AT,N/A,N/A,N/A,N/A,4.00,0.42,4.00,0.42,
A,AOT,N/A,N/A,N/A,N/A,4.00,0.42,4.00,0.42,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OT,AT,N/A,N/A,N/A,N/A,1.00,0.27,1.00,0.27,
OT,AOT,N/A,N/A,N/A,N/A,1.00,0.27,0.00,0.27,
AT,AOT,N/A,N/A,N/A,N/A,1.00,0.35,0.00,0.12,
