Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
CFP,CS,N/A,N/A,N/A,N/A,180.00,0.05,250.00,0.45,
CFP,CA,N/A,N/A,N/A,N/A,199.00,0.04,273.00,0.38,
CFP,O,N/A,N/A,N/A,N/A,242.00,0.01,388.50,0.43,
CFP,A,N/A,N/A,N/A,N/A,152.00,0.01,193.00,0.01,
CFP,AO,N/A,N/A,N/A,N/A,169.00,0.01,260.00,0.13,
CFP,OT,N/A,N/A,N/A,N/A,164.00,0.01,237.00,0.02,
CFP,AT,N/A,N/A,N/A,N/A,172.00,0.01,284.50,0.12,
CFP,AOT,N/A,N/A,N/A,N/A,160.00,0.01,252.00,0.02,
CS,CA,N/A,N/A,N/A,N/A,132.00,0.34,118.00,0.19,
CS,O,N/A,N/A,N/A,N/A,139.00,0.05,152.00,0.10,
CS,A,N/A,N/A,N/A,N/A,113.00,0.06,99.00,0.03,
CS,AO,N/A,N/A,N/A,N/A,115.00,0.07,110.50,0.06,
CS,OT,N/A,N/A,N/A,N/A,117.00,0.04,100.00,0.01,
CS,AT,N/A,N/A,N/A,N/A,120.00,0.05,165.00,0.38,
CS,AOT,N/A,N/A,N/A,N/A,115.00,0.02,133.00,0.07,
CA,O,N/A,N/A,N/A,N/A,175.50,0.11,178.00,0.13,
CA,A,N/A,N/A,N/A,N/A,125.00,0.05,109.00,0.02,
CA,AO,N/A,N/A,N/A,N/A,143.00,0.14,149.00,0.19,
CA,OT,N/A,N/A,N/A,N/A,129.00,0.03,125.00,0.02,
CA,AT,N/A,N/A,N/A,N/A,136.50,0.05,180.00,0.32,
CA,AOT,N/A,N/A,N/A,N/A,125.00,0.01,144.00,0.05,
O,A,N/A,N/A,N/A,N/A,235.00,0.37,144.00,0.01,
O,AO,N/A,N/A,N/A,N/A,245.00,0.46,169.00,0.03,
O,OT,N/A,N/A,N/A,N/A,248.00,0.28,183.00,0.03,
O,AT,N/A,N/A,N/A,N/A,250.00,0.30,219.50,0.12,
O,AOT,N/A,N/A,N/A,N/A,245.00,0.19,215.00,0.07,
A,AO,N/A,N/A,N/A,N/A,150.00,0.09,144.00,0.07,
A,OT,N/A,N/A,N/A,N/A,186.00,0.20,180.00,0.16,
A,AT,N/A,N/A,N/A,N/A,181.00,0.16,147.00,0.03,
A,AOT,N/A,N/A,N/A,N/A,204.00,0.26,182.00,0.12,
AO,OT,N/A,N/A,N/A,N/A,169.00,0.10,151.00,0.04,
AO,AT,N/A,N/A,N/A,N/A,183.00,0.18,207.00,0.38,
AO,AOT,N/A,N/A,N/A,N/A,159.50,0.04,170.00,0.07,
OT,AT,N/A,N/A,N/A,N/A,205.00,0.19,212.00,0.24,
OT,AOT,N/A,N/A,N/A,N/A,244.00,0.42,244.00,0.42,
AT,AOT,N/A,N/A,N/A,N/A,192.00,0.08,193.00,0.09,
