Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
CFP,CS,1685.50,0.04,1812.00,0.13,1189.00,0.01,836.00,0.01,
CFP,CA,1157.00,0.22,814.50,0.01,565.00,0.01,137.00,0.01,
CFP,O,1723.50,0.20,1432.00,0.01,1171.00,0.01,714.00,0.01,
CFP,A,899.50,0.17,508.50,0.01,596.50,0.01,255.50,0.01,
CFP,AO,1645.50,0.17,1149.50,0.01,1131.50,0.01,657.00,0.01,
CFP,OT,1995.00,0.46,1495.00,0.01,1172.00,0.01,712.00,0.01,
CFP,AT,1725.00,0.41,1404.50,0.03,1088.00,0.01,732.00,0.01,
CFP,AOT,1782.00,0.24,1360.50,0.01,1180.00,0.01,716.00,0.01,
CS,CA,1246.50,0.25,627.00,0.01,1022.50,0.02,811.00,0.01,
CS,O,1471.00,0.01,1310.00,0.01,1961.50,0.40,1819.00,0.18,
CS,A,747.00,0.01,421.00,0.01,1028.00,0.33,817.00,0.02,
CS,AO,1387.00,0.01,1008.00,0.01,1860.50,0.34,1760.00,0.18,
CS,OT,1752.00,0.04,1387.50,0.01,2067.00,0.36,1820.00,0.07,
CS,AT,1638.00,0.11,1271.50,0.01,1798.50,0.34,1664.00,0.14,
CS,AOT,1536.00,0.01,1176.50,0.01,2020.00,0.45,1838.00,0.16,
CA,O,1001.00,0.04,1025.00,0.06,935.00,0.02,866.00,0.01,
CA,A,492.00,0.02,627.50,0.30,595.50,0.19,629.00,0.30,
CA,AO,931.50,0.03,1126.50,0.28,825.50,0.01,814.00,0.01,
CA,OT,1194.00,0.19,1093.00,0.06,1066.00,0.04,1002.00,0.02,
CA,AT,1107.00,0.33,885.50,0.02,945.00,0.05,920.00,0.04,
CA,AOT,1033.00,0.05,1092.00,0.11,951.50,0.02,899.00,0.01,
O,A,989.00,0.45,780.00,0.04,868.50,0.14,906.00,0.21,
O,AO,1745.00,0.39,1386.00,0.02,1759.00,0.42,1763.50,0.43,
O,OT,1863.00,0.28,1945.50,0.43,1832.50,0.23,1842.00,0.25,
O,AT,1580.00,0.20,1516.50,0.12,1557.50,0.17,1625.00,0.27,
O,AOT,1891.00,0.50,1646.50,0.11,1830.50,0.38,1862.00,0.44,
A,AO,966.00,0.48,940.00,0.39,873.00,0.21,805.00,0.09,
A,OT,983.00,0.25,802.00,0.02,1063.50,0.47,986.00,0.26,
A,AT,827.50,0.17,659.00,0.01,891.00,0.34,857.00,0.24,
A,AOT,1002.00,0.44,852.00,0.09,928.50,0.23,826.00,0.06,
AO,OT,1715.00,0.16,1535.00,0.03,1780.00,0.25,1797.00,0.27,
AO,AT,1440.50,0.09,1222.00,0.01,1459.00,0.11,1541.00,0.22,
AO,AOT,1747.00,0.34,1719.50,0.29,1739.50,0.32,1718.00,0.28,
OT,AT,1790.50,0.38,1691.50,0.20,1777.00,0.35,1820.00,0.43,
OT,AOT,1881.50,0.26,1820.50,0.17,1947.50,0.37,1949.00,0.38,
AT,AOT,1589.00,0.17,1457.50,0.05,1712.00,0.39,1715.00,0.39,
