Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
CFP,CS,N/A,N/A,N/A,N/A,N/A,N/A,16.00,0.03,
CFP,CA,N/A,N/A,N/A,N/A,N/A,N/A,86.00,0.31,
CFP,O,N/A,N/A,N/A,N/A,N/A,N/A,18.00,0.21,
CFP,A,N/A,N/A,N/A,N/A,N/A,N/A,67.00,0.10,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,13.00,0.01,
CFP,OT,N/A,N/A,N/A,N/A,N/A,N/A,5.00,0.01,
CFP,AT,N/A,N/A,N/A,N/A,N/A,N/A,37.00,0.24,
CFP,AOT,N/A,N/A,N/A,N/A,N/A,N/A,13.00,0.03,
CS,CA,N/A,N/A,N/A,N/A,N/A,N/A,197.00,0.01,
CS,O,N/A,N/A,N/A,N/A,N/A,N/A,66.00,0.24,
CS,A,N/A,N/A,N/A,N/A,N/A,N/A,272.00,0.13,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,18.00,0.01,
CS,OT,N/A,N/A,N/A,N/A,N/A,N/A,12.00,0.01,
CS,AT,N/A,N/A,N/A,N/A,N/A,N/A,125.00,0.19,
CS,AOT,N/A,N/A,N/A,N/A,60.00,0.01,25.00,0.01,
CA,O,N/A,N/A,N/A,N/A,N/A,N/A,170.00,0.24,
CA,A,N/A,N/A,N/A,N/A,N/A,N/A,680.00,0.07,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,258.00,0.01,
CA,OT,N/A,N/A,N/A,N/A,N/A,N/A,159.00,0.04,
CA,AT,N/A,N/A,N/A,N/A,N/A,N/A,277.00,0.05,
CA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,165.00,0.03,
O,A,N/A,N/A,N/A,N/A,N/A,N/A,210.00,0.50,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,36.00,0.01,
O,OT,N/A,N/A,N/A,N/A,N/A,N/A,23.00,0.01,
O,AT,N/A,N/A,N/A,N/A,N/A,N/A,84.00,0.31,
O,AOT,N/A,N/A,N/A,N/A,36.00,0.01,27.00,0.01,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,137.00,0.01,
A,OT,N/A,N/A,N/A,N/A,N/A,N/A,98.00,0.01,
A,AT,N/A,N/A,N/A,N/A,N/A,N/A,386.00,0.42,
A,AOT,N/A,N/A,N/A,N/A,N/A,N/A,113.00,0.01,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,111.00,0.29,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,61.00,0.01,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,128.00,0.39,
OT,AT,N/A,N/A,N/A,N/A,N/A,N/A,38.00,0.01,
OT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,73.00,0.40,
AT,AOT,N/A,N/A,N/A,N/A,90.00,0.02,50.00,0.01,
