Success (%)
,PA,CFP,CS,CA,O,OT,A,AT,AO,AOT
PA,0,0,0,0,0,0,0,0,0,0
CFP,0,62,49,38,52,55,31,46,49,50
CS,0,49,66,36,50,52,31,46,49,51
CA,0,38,36,41,40,41,29,38,41,41
O,0,52,50,40,61,56,31,51,55,55
OT,0,55,52,41,56,65,33,51,57,58
A,0,31,31,29,31,33,33,33,32,33
AT,0,46,46,38,51,51,33,57,52,54
AO,0,49,49,41,55,57,32,52,59,59
AOT,0,50,51,41,55,58,33,54,59,62
""
Nonexecutable (%)
,PA,CFP,CS,CA,O,OT,A,AT,AO,AOT
PA,0,0,0,0,0,0,0,0,0,0
CFP,0,32,15,18,21,20,20,20,20,20
CS,0,15,16,12,14,14,14,14,14,14
CA,0,18,12,18,14,14,15,14,14,14
O,0,21,14,14,25,22,18,22,20,22
OT,0,20,14,14,22,22,18,22,20,22
A,0,20,14,15,18,18,20,18,18,18
AT,0,20,14,14,22,22,18,22,20,22
AO,0,20,14,14,20,20,18,20,20,20
AOT,0,20,14,14,22,22,18,22,20,23
""
Time Fail (%)
,PA,CFP,CS,CA,O,OT,A,AT,AO,AOT
PA,100,5,16,40,10,12,42,19,21,13
CFP,5,5,1,5,1,3,5,4,5,4
CS,16,1,16,10,3,3,12,3,7,3
CA,40,5,10,40,9,11,30,16,21,13
O,10,1,3,9,10,5,7,4,8,4
OT,12,3,3,11,5,12,9,5,10,6
A,42,5,12,30,7,9,42,18,19,13
AT,19,4,3,16,4,5,18,19,12,11
AO,21,5,7,21,8,10,19,12,21,13
AOT,13,4,3,13,4,6,13,11,13,13
""
Memory Fail (%)
,PA,CFP,CS,CA,O,OT,A,AT,AO,AOT
PA,0,0,0,0,0,0,0,0,0,0
CFP,0,1,0,0,0,0,0,0,0,0
CS,0,0,2,0,0,0,0,0,0,0
CA,0,0,0,1,0,0,1,0,0,0
O,0,0,0,0,4,0,0,0,0,0
OT,0,0,0,0,0,1,0,1,0,1
A,0,0,0,1,0,0,5,0,0,0
AT,0,0,0,0,0,1,0,2,0,1
AO,0,0,0,0,0,0,0,0,0,0
AOT,0,0,0,0,0,1,0,1,0,2
""
