Pair,Makespan (%),Makespan (%),Number of Actions (%),Number of Actions (%),Memory Usage (%),Memory Usage (%),Processing Time (%),Processing Time (%),
"Object-CoalitionSimilarity",11.8704,0.0006,25.2050,0.0000,3.7954,0.0514,3.4002,0.0652,
"Object-CoalitionAssistance",55.1461,0.0000,3.6954,0.0546,15.0479,0.0001,28.1621,0.0000,
"ObjectTime-CoalitionSimilarity",3.1052,0.0780,37.1199,0.0000,3.4111,0.0648,5.6145,0.0178,
"CFP-Object",3.2045,0.0734,58.2016,0.0000,40.7360,0.0000,80.2844,0.0000,
"CFP-CoalitionSimilarity",3.6357,0.0566,4.7549,0.0292,8.9826,0.0027,37.3309,0.0000,
"CFP-CoalitionAssistance",45.9592,0.0000,25.1345,0.0000,62.2571,0.0000,77.3515,0.0000,
"CoalitionAssistance-CoalitionSimilarity",32.1115,0.0000,7.7575,0.0053,21.9093,0.0000,26.9522,0.0000,
"Object-ObjectTime",2.8221,0.0930,1.5366,0.2151,0.0006,0.9805,0.0561,0.8128,
"CFP-ObjectTime",0.0249,0.8747,73.1268,0.0000,29.1282,0.0000,77.6352,0.0000,
"ObjectTime-CoalitionAssistance",47.0815,0.0000,8.6082,0.0033,13.0391,0.0003,20.3514,0.0000,
