Pair,Makespan (%),Makespan (%),Number of Actions (%),Number of Actions (%),Memory Usage (%),Memory Usage (%),Processing Time (%),Processing Time (%),
"Object-CoalitionSimilarity",1.0082,0.3153,2.0838,0.1489,0.0710,0.7899,0.1242,0.7245,
"CoalitionAssistance-CoalitionSimilarity",2.0572,0.1515,1.6328,0.2013,3.2067,0.0733,4.0171,0.0450,
"Object-CoalitionAssistance",6.4824,0.0109,7.1854,0.0073,3.5579,0.0593,4.5797,0.0324,
"CoalitionSimilarity-PA",0.3924,0.5310,3.0732,0.0796,13.8648,0.0002,15.8014,0.0001,
"ObjectTime-PA",0.4307,0.5116,4.6152,0.0317,8.5561,0.0034,8.9458,0.0028,
"Object-PA",0.0578,0.8100,8.3289,0.0039,10.7361,0.0011,12.1533,0.0005,
"CFP-Object",8.8750,0.0029,7.0491,0.0079,0.0049,0.9445,0.1575,0.6915,
"Object-ObjectTime",1.1239,0.2891,0.6912,0.4058,0.1640,0.6855,0.6100,0.4348,
"CFP-CoalitionSimilarity",3.1702,0.0750,1.4353,0.2309,0.3141,0.5752,0.9859,0.3208,
"CFP-CoalitionAssistance",0.0827,0.7736,0.0691,0.7927,5.1241,0.0236,7.5193,0.0061,
"ObjectTime-CoalitionSimilarity",0.0005,0.9823,0.3691,0.5435,0.0416,0.8384,0.1699,0.6802,
"CoalitionAssistance-PA",3.5315,0.0602,0.2310,0.6308,3.7872,0.0516,4.5120,0.0337,
"CFP-PA",5.2617,0.0218,0.6453,0.4218,16.2538,0.0001,19.3700,0.0000,
"CFP-ObjectTime",3.9204,0.0477,3.1764,0.0747,0.4176,0.5181,1.1340,0.2869,
"ObjectTime-CoalitionAssistance",2.3970,0.1216,3.4823,0.0620,2.0186,0.1554,2.0808,0.1492,
