Pair,Makespan (%),Makespan (%),Number of Actions (%),Number of Actions (%),Memory Usage (%),Memory Usage (%),Processing Time (%),Processing Time (%),
"ActionTime-ObjectTime",0.1368,0.7115,0.0342,0.8533,0.0142,0.9052,1.4192,0.2335,
"ObjectTime-CFP",0.9055,0.3413,0.1006,0.7511,0.1296,0.7188,7.5747,0.0059,
"ObjectTime-PA",0.0112,0.9158,0.0028,0.9579,1.4211,0.2332,13.6153,0.0002,
"Object-CFP",0.8241,0.3640,0.0916,0.7622,0.0473,0.8278,7.2520,0.0071,
"CoalitionAssistance-CFP",2.0250,0.1547,0.6250,0.4292,0.1515,0.6971,2.6099,0.1062,
"Object-CoalitionAssistance",0.0696,0.7919,0.2783,0.5978,0.1955,0.6584,2.2277,0.1356,
"CoalitionSimilarity-PA",0.0185,0.8917,0.0046,0.9457,0.9423,0.3317,6.2611,0.0123,
"ActionObjectTime-Action",0.0023,0.9616,0.0209,0.8850,0.3029,0.5820,0.0680,0.7942,
"ActionObject-CoalitionSimilarity",0.0000,1.0000,0.0159,0.8996,0.1581,0.6909,2.3984,0.1215,
"ObjectTime-Object",0.0050,0.9437,0.0050,0.9437,0.0212,0.8843,0.0053,0.9419,
"Action-CoalitionSimilarity",0.0249,0.8747,0.1681,0.6818,0.0530,0.8179,1.3748,0.2410,
"Action-CoalitionAssistance",0.3540,0.5518,0.8743,0.3498,0.1643,0.6853,1.1424,0.2851,
"ActionObjectTime-CFP",0.3876,0.5335,0.0079,0.9291,0.0947,0.7583,4.0029,0.0454,
"ActionObjectTime-PA",0.0926,0.7609,0.1357,0.7126,1.9702,0.1604,7.9440,0.0048,
"CoalitionSimilarity-CFP",0.7212,0.3958,0.0695,0.7921,0.0176,0.8943,2.2010,0.1379,
"ActionObjectTime-ActionObject",0.0000,1.0000,0.0840,0.7720,0.3029,0.5820,0.1893,0.6635,
"CoalitionAssistance-PA",0.6752,0.4112,0.6086,0.4353,2.6449,0.1039,7.3891,0.0066,
"ActionObject-Action",0.0020,0.9647,0.0489,0.8249,0.0007,0.9795,0.0322,0.8575,
"Object-PA",0.0384,0.8445,0.0031,0.9553,1.2308,0.2673,12.8603,0.0003,
"ActionObjectTime-ObjectTime",0.0840,0.7719,0.0840,0.7719,0.0270,0.8695,0.2170,0.6414,
"ActionTime-PA",0.0978,0.7544,0.0025,0.9601,1.8835,0.1699,6.7742,0.0092,
"CFP-PA",0.9611,0.3269,0.0441,0.8336,0.5303,0.4665,0.8192,0.3654,
"ActionObject-Object",0.1074,0.7431,0.0067,0.9347,0.0007,0.9795,0.0007,0.9795,
"ActionObjectTime-Object",0.0715,0.7892,0.1271,0.7215,0.2425,0.6224,0.2432,0.6219,
"ObjectTime-CoalitionSimilarity",0.0368,0.8479,0.0008,0.9781,0.9848,0.3210,3.4820,0.0620,
"CoalitionAssistance-CoalitionSimilarity",0.6247,0.4293,0.4430,0.5057,0.6771,0.4106,0.0929,0.7605,
"ActionObject-ActionTime",0.0114,0.9150,0.0013,0.9716,0.0740,0.7856,0.9272,0.3356,
"ActionTime-CoalitionSimilarity",0.0424,0.8368,0.0106,0.9180,0.8972,0.3435,0.0962,0.7564,
"ActionObject-ObjectTime",0.0711,0.7897,0.0015,0.9696,0.1907,0.6623,0.0006,0.9806,
"Object-CoalitionSimilarity",0.0859,0.7695,0.0034,0.9533,0.3683,0.5440,3.1652,0.0752,
"ActionObject-PA",0.0321,0.8578,0.0892,0.7652,1.2308,0.2673,11.0123,0.0009,
"ActionObject-CFP",0.3753,0.5401,0.0017,0.9674,0.0740,0.7856,5.6005,0.0180,
"ActionObject-CoalitionAssistance",0.4247,0.5146,0.5018,0.4787,0.2661,0.6060,1.9099,0.1670,
"ActionObjectTime-CoalitionSimilarity",0.0747,0.7846,0.0420,0.8376,0.8414,0.3590,1.2756,0.2587,
"ActionObjectTime-CoalitionAssistance",0.6349,0.4256,0.7363,0.3909,0.0017,0.9671,0.9024,0.3421,
"ActionTime-Action",0.0013,0.9716,0.1535,0.6952,0.0530,0.8179,0.4491,0.5028,
"Action-CFP",0.2018,0.6532,0.0150,0.9025,0.0000,1.0000,4.6179,0.0316,
"Action-PA",0.0571,0.8112,0.1748,0.6759,1.0612,0.3029,8.6563,0.0033,
"ActionTime-Object",0.1319,0.7165,0.0273,0.8689,0.0985,0.7536,1.6836,0.1944,
"ActionTime-CFP",0.2450,0.6206,0.0272,0.8690,0.2373,0.6262,2.4031,0.1211,
"ActionTime-CoalitionAssistance",0.4854,0.4860,0.4854,0.4860,0.0455,0.8311,0.0335,0.8549,
"ActionObjectTime-ActionTime",0.0060,0.9384,0.0060,0.9384,0.0138,0.9064,0.2215,0.6379,
"Action-ObjectTime",0.0927,0.7608,0.2086,0.6479,0.0589,0.8083,0.0477,0.8271,
"Action-Object",0.0820,0.7746,0.1356,0.7127,0.0007,0.9795,0.1113,0.7387,
"ObjectTime-CoalitionAssistance",0.1976,0.6567,0.3513,0.5534,0.0600,0.8065,2.4252,0.1194,
