Pair,Makespan (%),Makespan (%),Number of Actions (%),Number of Actions (%),Memory Usage (%),Memory Usage (%),Processing Time (%),Processing Time (%),
"Object-CoalitionSimilarity",1.3547,0.2445,1.4231,0.2329,1.8124,0.1782,1.7104,0.1909,
"CoalitionAssistance-CoalitionSimilarity",0.0539,0.8165,0.0584,0.8090,0.0829,0.7734,0.0104,0.9187,
"Object-CoalitionAssistance",2.4987,0.1139,2.3263,0.1272,3.2132,0.0730,2.1430,0.1432,
"CoalitionSimilarity-PA",10.6732,0.0011,0.2909,0.5896,0.3745,0.5406,0.0120,0.9129,
"ObjectTime-PA",6.1668,0.0130,3.4025,0.0651,0.6375,0.4246,0.8086,0.3685,
"Object-PA",9.4936,0.0021,3.8415,0.0500,0.4363,0.5089,1.4991,0.2208,
"CFP-Object",5.3994,0.0201,8.5461,0.0035,12.0622,0.0005,5.4461,0.0196,
"Object-ObjectTime",0.2497,0.6173,0.0021,0.9638,0.0008,0.9773,0.1346,0.7137,
"CFP-CoalitionSimilarity",1.1976,0.2738,1.8561,0.1731,2.4743,0.1157,0.5587,0.4548,
"CFP-CoalitionAssistance",0.7857,0.3754,2.4176,0.1200,2.3725,0.1235,0.8645,0.3525,
"ObjectTime-CoalitionSimilarity",2.5188,0.1125,1.3802,0.2401,2.2035,0.1377,0.9940,0.3188,
"CoalitionAssistance-PA",17.0230,0.0000,0.2075,0.6487,0.9181,0.3380,0.0172,0.8957,
"CFP-PA",19.3966,0.0000,0.8416,0.3589,4.4836,0.0342,0.9619,0.3267,
"CFP-ObjectTime",6.7013,0.0096,7.9352,0.0048,11.2410,0.0008,3.7615,0.0524,
"ObjectTime-CoalitionAssistance",3.8833,0.0488,1.9853,0.1588,2.9830,0.0841,1.1438,0.2849,
