Metric,PA,CFP,CS,CA,O,A,AO,OT,AT,AOT,
"Success (%)",28.0,38.0,38.0,39.0,48.0,41.0,46.0,47.0,43.0,45.0,
"Nonexecutable (%)",0.0,34.0,21.0,25.0,16.0,22.0,19.0,16.0,16.0,19.0,
"Time Fail (%)",42.0,12.0,17.0,20.0,13.0,13.0,13.0,14.0,17.0,11.0,
"Memory Fail (%)",30.0,16.0,24.0,16.0,23.0,24.0,22.0,23.0,24.0,25.0,
"Makespan (s)",46.8 (16.9),57.3 (21.7),62.2 (23.3),56.5 (23.9),49.5 (18.2),54.3 (21.1),50.9 (20.1),51.3 (18.8),55.9 (18.4),54.4 (19.5),
"Makespan (s)",nan (nan),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),
"Makespan (s)",-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),
"Makespan (s)",-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),
"Number of Actions",71.2 (21.6),72.6 (21.6),77.0 (24.5),72.4 (24.4),64.8 (21.6),72.0 (24.3),66.7 (24.1),66.1 (22.1),73.0 (22.8),69.8 (22.7),
"Number of Actions",nan (nan),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),
"Number of Actions",-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),
"Number of Actions",-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),-1.0 (0.0),
"Processing Time (s)",660.5 (723.7),342.3 (675.3),267.1 (428.2),577.3 (817.1),321.0 (593.3),673.1 (993.6),412.4 (735.4),343.1 (609.4),647.5 (896.6),521.8 (805.9),
"Processing Time (s)",nan (nan),414.9 (743.3),278.1 (454.6),466.2 (624.3),319.8 (572.7),342.9 (645.9),601.0 (949.7),288.8 (595.5),182.1 (561.1),543.0 (971.4),
"Processing Time (s)",3601.3 (0.7),3601.8 (0.6),3601.6 (0.9),3601.3 (0.9),3602.0 (0.6),3601.5 (0.8),3601.7 (0.9),3601.9 (1.1),3601.5 (0.9),3601.6 (0.9),
"Processing Time (s)",2601.0 (575.9),2655.2 (474.4),2423.6 (675.2),2422.8 (657.5),2544.5 (683.8),2452.4 (763.4),2545.3 (712.5),2564.6 (686.3),2654.0 (611.2),2534.4 (698.5),
"Memory Usage (GB)",26.2 (29.1),11.2 (17.4),7.9 (12.2),18.0 (27.3),11.0 (19.1),17.7 (25.1),13.5 (22.6),11.5 (19.4),18.5 (25.1),15.2 (22.6),
"Memory Usage (GB)",nan (nan),9.5 (19.8),5.7 (8.9),14.0 (24.8),8.2 (12.2),8.9 (18.7),15.0 (24.0),6.6 (10.3),3.6 (9.7),13.1 (23.7),
"Memory Usage (GB)",65.4 (29.5),88.7 (23.3),79.8 (28.5),68.3 (30.7),86.2 (27.4),74.9 (30.2),86.3 (27.4),86.8 (26.9),70.3 (31.3),74.7 (38.0),
"Memory Usage (GB)",120.0 (0.0),119.9 (0.2),120.0 (0.0),120.0 (0.0),120.0 (0.0),120.0 (0.0),120.0 (0.0),120.0 (0.0),120.0 (0.0),120.0 (0.0),
