Planner,Domain,Problem,Tool,Makespan (s),Actions,Proc. Time (s),Memory (MB),Status
popf2,push,0,CFP,47.047,103,2.226,97,0
popf2,push,0,Action,44.044,99,4.441,139,0
popf2,push,0,Object,30.03,68,9.127,289,0
popf2,push,0,ActionObject,30.03,68,9.026,289,0
popf2,push,0,ActionTime,0,0,0,0,124
popf2,push,0,ObjectTime,30.03,68,8.851,289,0
popf2,push,0,ActionObjectTime,30.03,68,9.077,289,0
popf2,push,0,Makespan,30.03,68,8.782,289,0
popf2,push,0,IdleTime,30.03,68,8.82,289,0
popf2,push,0,CoalitionAssistance,44.044,99,4.41,139,0
popf2,push,0,CoalitionSimilarity,44.044,99,4.48,139,0
popf2,push,0,PA,39.039,89,41.291,1088,0
popf2,push,1,CFP,25.025,58,2.443,154,0
popf2,push,1,Action,24.024,58,3.336,156,0
popf2,push,1,Object,15.015,52,1.865,63,0
popf2,push,1,ActionObject,15.015,52,2.091,63,0
popf2,push,1,ActionTime,31.031,73,6.075,344,0
popf2,push,1,ObjectTime,15.015,52,1.86,63,0
popf2,push,1,ActionObjectTime,15.015,52,1.838,63,0
popf2,push,1,Makespan,15.015,52,1.789,63,0
popf2,push,1,IdleTime,15.015,52,1.68,63,0
popf2,push,1,CoalitionAssistance,24.024,58,3.339,156,0
popf2,push,1,CoalitionSimilarity,24.024,58,3.307,156,0
popf2,push,1,PA,17.017,55,4.929,128,0
popf2,push,2,CFP,22.022,48,0.948,63,0
popf2,push,2,Action,25.025,65,3.406,142,0
popf2,push,2,Object,14.014,48,2.271,91,0
popf2,push,2,ActionObject,14.014,48,1.956,91,0
popf2,push,2,ActionTime,23.023,48,1.339,48,0
popf2,push,2,ObjectTime,14.014,48,2.059,91,0
popf2,push,2,ActionObjectTime,14.014,48,2.158,91,0
popf2,push,2,Makespan,14.014,48,2.137,91,0
popf2,push,2,IdleTime,23.023,48,1.318,48,0
popf2,push,2,CoalitionAssistance,25.025,65,3.181,141,0
popf2,push,2,CoalitionSimilarity,25.025,65,3.225,141,0
popf2,push,2,PA,13.013,46,5.686,222,0
popf2,carry,0,CFP,141.067,164,9.114,367,0
popf2,carry,0,Action,135.063,171,70.895,2508,0
popf2,carry,0,Object,92.06,156,54.449,3441,0
popf2,carry,0,ActionObject,92.06,156,53.773,3441,0
popf2,carry,0,ActionTime,92.06,156,52.361,3441,0
popf2,carry,0,ObjectTime,92.06,156,52.407,3441,0
popf2,carry,0,ActionObjectTime,92.06,156,52.733,3441,0
popf2,carry,0,Makespan,135.063,171,72.288,2507,0
popf2,carry,0,IdleTime,135.063,171,73.37,2507,0
popf2,carry,0,CoalitionAssistance,116.054,145,18.914,548,0
popf2,carry,0,CoalitionSimilarity,116.054,145,18.515,548,0
popf2,carry,0,PA,85.058,157,71.568,2567,0
popf2,carry,1,CFP,170.09,189,10.135,226,0
popf2,carry,1,Action,170.093,178,11.532,213,0
popf2,carry,1,Object,87.053,148,7.247,192,0
popf2,carry,1,ActionObject,87.053,148,7.973,193,0
popf2,carry,1,ActionTime,170.093,178,11.877,213,0
popf2,carry,1,ObjectTime,87.053,148,7.78,193,0
popf2,carry,1,ActionObjectTime,170.093,178,11.574,213,0
popf2,carry,1,Makespan,0,0,0,0,124
popf2,carry,1,IdleTime,170.093,178,11.667,213,0
popf2,carry,1,CoalitionAssistance,170.093,178,11.822,213,0
popf2,carry,1,CoalitionSimilarity,170.093,178,11.335,213,0
popf2,carry,1,PA,0,0,0,0,124
popf2,carry,2,CFP,174.095,133,8.16,296,0
popf2,carry,2,Action,85.059,124,12.031,268,0
popf2,carry,2,Object,85.059,124,11.914,268,0
popf2,carry,2,ActionObject,85.059,124,12.592,268,0
popf2,carry,2,ActionTime,180.09,147,17.896,481,0
popf2,carry,2,ObjectTime,180.09,147,18.256,481,0
popf2,carry,2,ActionObjectTime,180.09,147,18.533,481,0
popf2,carry,2,Makespan,149.075,133,10.313,285,0
popf2,carry,2,IdleTime,85.059,124,12.506,269,0
popf2,carry,2,CoalitionAssistance,180.09,147,17.795,481,0
popf2,carry,2,CoalitionSimilarity,180.09,147,18.47,481,0
popf2,carry,2,PA,0,0,0,0,124
itsat,push,0,CFP,164.108,192,13.165,613,0
itsat,push,0,Action,150.924,214,15.276,777,0
itsat,push,0,Object,142.826,208,18.756,790,0
itsat,push,0,ActionObject,142.826,208,18.974,792,0
itsat,push,0,ActionTime,99.729,128,8.143,583,0
itsat,push,0,ObjectTime,142.826,208,19.17,791,0
itsat,push,0,ActionObjectTime,142.826,208,19.126,790,0
itsat,push,0,Makespan,142.826,208,19.214,791,0
itsat,push,0,IdleTime,142.826,208,19.263,791,0
itsat,push,0,CoalitionAssistance,150.924,214,15.514,777,0
itsat,push,0,CoalitionSimilarity,150.924,214,15.522,777,0
itsat,push,0,PA,53.53,208,18.776,1208,0
itsat,push,1,CFP,94.778,81,4.136,485,0
itsat,push,1,Action,92.488,140,5.952,590,0
itsat,push,1,Object,63.369,92,5.359,630,0
itsat,push,1,ActionObject,63.369,92,5.354,630,0
itsat,push,1,ActionTime,56.479,54,3.109,471,0
itsat,push,1,ObjectTime,63.369,92,5.231,630,0
itsat,push,1,ActionObjectTime,63.369,92,5.262,631,0
itsat,push,1,Makespan,63.369,92,5.367,630,0
itsat,push,1,IdleTime,63.369,92,5.133,630,0
itsat,push,1,CoalitionAssistance,92.488,140,5.917,590,0
itsat,push,1,CoalitionSimilarity,92.488,140,5.922,590,0
itsat,push,1,PA,25.25,109,4.769,785,0
itsat,push,2,CFP,88.718,75,3.703,471,0
itsat,push,2,Action,85.463,128,5.246,565,0
itsat,push,2,Object,59.311,90,4.972,604,0
itsat,push,2,ActionObject,59.311,90,4.987,604,0
itsat,push,2,ActionTime,51.429,50,2.868,458,0
itsat,push,2,ObjectTime,59.311,90,5.114,604,0
itsat,push,2,ActionObjectTime,59.311,90,5.089,604,0
itsat,push,2,Makespan,59.311,90,5.005,604,0
itsat,push,2,IdleTime,51.429,50,2.746,458,0
itsat,push,2,CoalitionAssistance,85.463,128,5.21,565,0
itsat,push,2,CoalitionSimilarity,85.463,128,5.168,565,0
itsat,push,2,PA,19.19,73,5.026,739,0
itsat,carry,0,CFP,185.892,141,21.504,2373,0
itsat,carry,0,Action,0,0,0,0,124
itsat,carry,0,Object,158.781,148,19.31,2133,0
itsat,carry,0,ActionObject,158.781,148,19.103,2133,0
itsat,carry,0,ActionTime,158.781,148,19.463,2133,0
